cantNod,Tiempo,Tipo
2,0.011034,NigualM
2,0.006765,NigualM
2,0.006225,NigualM
2,0.004702,NigualM
2,0.006768,NigualM
2,0.007325,NigualM
2,0.007102,NigualM
2,0.006541,NigualM
2,0.006277,NigualM
2,0.0059,NigualM
2,0.005369,NigualM
2,0.006016,NigualM
2,0.004658,NigualM
2,0.005423,NigualM
2,0.006654,NigualM
2,0.006403,NigualM
2,0.006469,NigualM
2,0.006375,NigualM
2,0.0062,NigualM
2,0.004613,NigualM
2,0.00594,NigualM
2,0.005327,NigualM
2,0.005252,NigualM
2,0.006245,NigualM
2,0.006592,NigualM
2,0.003962,NigualM
2,0.00544,NigualM
2,0.006455,NigualM
2,0.006161,NigualM
2,0.00691,NigualM
2,0.007402,NigualM
2,0.005988,NigualM
2,0.006577,NigualM
2,0.006355,NigualM
2,0.00628,NigualM
2,0.005205,NigualM
2,0.007193,NigualM
2,0.006929,NigualM
2,0.006043,NigualM
2,0.007097,NigualM
2,0.006951,NigualM
2,0.007391,NigualM
2,0.00687,NigualM
2,0.004516,NigualM
2,0.005461,NigualM
2,0.006083,NigualM
2,0.006614,NigualM
2,0.005296,NigualM
2,0.006397,NigualM
2,0.006215,NigualM
3,0.010527,NigualM
3,0.009016,NigualM
3,0.009455,NigualM
3,0.00775,NigualM
3,0.01019,NigualM
3,0.008672,NigualM
3,0.008663,NigualM
3,0.00885,NigualM
3,0.010186,NigualM
3,0.010453,NigualM
3,0.010106,NigualM
3,0.009281,NigualM
3,0.007632,NigualM
3,0.009069,NigualM
3,0.007472,NigualM
3,0.009605,NigualM
3,0.008991,NigualM
3,0.009151,NigualM
3,0.008957,NigualM
3,0.008797,NigualM
3,0.010161,NigualM
3,0.008966,NigualM
3,0.010204,NigualM
3,0.010178,NigualM
3,0.009986,NigualM
3,0.00792,NigualM
3,0.01008,NigualM
3,0.009984,NigualM
3,0.008872,NigualM
3,0.009888,NigualM
3,0.008775,NigualM
3,0.009461,NigualM
3,0.008881,NigualM
3,0.01018,NigualM
3,0.008941,NigualM
3,0.009234,NigualM
3,0.009173,NigualM
3,0.009394,NigualM
3,0.010041,NigualM
3,0.009951,NigualM
3,0.010064,NigualM
3,0.009009,NigualM
3,0.009921,NigualM
3,0.009875,NigualM
3,0.00764,NigualM
3,0.009136,NigualM
3,0.009921,NigualM
3,0.009646,NigualM
3,0.009318,NigualM
3,0.008858,NigualM
4,0.01516,NigualM
4,0.012781,NigualM
4,0.01242,NigualM
4,0.015004,NigualM
4,0.014426,NigualM
4,0.012258,NigualM
4,0.012943,NigualM
4,0.012935,NigualM
4,0.015269,NigualM
4,0.011117,NigualM
4,0.013074,NigualM
4,0.012664,NigualM
4,0.013091,NigualM
4,0.012795,NigualM
4,0.014829,NigualM
4,0.012692,NigualM
4,0.013014,NigualM
4,0.014553,NigualM
4,0.013181,NigualM
4,0.011052,NigualM
4,0.012915,NigualM
4,0.014459,NigualM
4,0.014366,NigualM
4,0.012756,NigualM
4,0.014148,NigualM
4,0.012873,NigualM
4,0.012882,NigualM
4,0.012637,NigualM
4,0.014846,NigualM
4,0.012925,NigualM
4,0.014389,NigualM
4,0.011091,NigualM
4,0.029474,NigualM
4,0.019728,NigualM
4,0.022233,NigualM
4,0.020732,NigualM
4,0.020305,NigualM
4,0.020332,NigualM
4,0.022781,NigualM
4,0.021064,NigualM
4,0.020432,NigualM
4,0.020245,NigualM
4,0.020249,NigualM
4,0.019597,NigualM
4,0.020807,NigualM
4,0.023339,NigualM
4,0.020178,NigualM
4,0.019991,NigualM
4,0.020315,NigualM
4,0.022845,NigualM
5,0.028368,NigualM
5,0.02764,NigualM
5,0.027546,NigualM
5,0.031719,NigualM
5,0.0267,NigualM
5,0.031445,NigualM
5,0.030056,NigualM
5,0.030801,NigualM
5,0.026734,NigualM
5,0.031278,NigualM
5,0.030877,NigualM
5,0.029751,NigualM
5,0.031098,NigualM
5,0.027807,NigualM
5,0.031331,NigualM
5,0.027034,NigualM
5,0.02655,NigualM
5,0.03064,NigualM
5,0.026644,NigualM
5,0.029982,NigualM
5,0.030466,NigualM
5,0.026664,NigualM
5,0.030386,NigualM
5,0.030185,NigualM
5,0.031869,NigualM
5,0.030369,NigualM
5,0.026798,NigualM
5,0.0309,NigualM
5,0.027018,NigualM
5,0.02759,NigualM
5,0.031431,NigualM
5,0.030249,NigualM
5,0.026387,NigualM
5,0.027629,NigualM
5,0.026313,NigualM
5,0.026058,NigualM
5,0.031756,NigualM
5,0.030343,NigualM
5,0.030303,NigualM
5,0.027489,NigualM
5,0.026881,NigualM
5,0.026186,NigualM
5,0.027004,NigualM
5,0.027418,NigualM
5,0.026279,NigualM
5,0.029975,NigualM
5,0.027639,NigualM
5,0.026868,NigualM
5,0.03081,NigualM
5,0.026543,NigualM
6,0.036537,NigualM
6,0.040209,NigualM
6,0.035982,NigualM
6,0.035117,NigualM
6,0.036287,NigualM
6,0.035599,NigualM
6,0.040741,NigualM
6,0.039932,NigualM
6,0.03881,NigualM
6,0.040326,NigualM
6,0.035238,NigualM
6,0.035652,NigualM
6,0.036193,NigualM
6,0.039953,NigualM
6,0.040193,NigualM
6,0.040063,NigualM
6,0.041252,NigualM
6,0.039525,NigualM
6,0.034703,NigualM
6,0.036267,NigualM
6,0.03634,NigualM
6,0.040621,NigualM
6,0.039117,NigualM
6,0.038846,NigualM
6,0.040871,NigualM
6,0.03912,NigualM
6,0.035595,NigualM
6,0.03499,NigualM
6,0.039721,NigualM
6,0.037062,NigualM
6,0.039347,NigualM
6,0.038926,NigualM
6,0.035585,NigualM
6,0.040386,NigualM
6,0.040059,NigualM
6,0.040232,NigualM
6,0.039578,NigualM
6,0.046692,NigualM
6,0.035445,NigualM
6,0.035839,NigualM
6,0.039839,NigualM
6,0.040444,NigualM
6,0.038943,NigualM
6,0.039965,NigualM
6,0.035014,NigualM
6,0.041149,NigualM
6,0.039828,NigualM
6,0.037626,NigualM
6,0.039441,NigualM
6,0.036822,NigualM
7,0.050841,NigualM
7,0.050738,NigualM
7,0.050635,NigualM
7,0.051543,NigualM
7,0.049492,NigualM
7,0.051988,NigualM
7,0.044831,NigualM
7,0.043912,NigualM
7,0.044861,NigualM
7,0.044527,NigualM
7,0.043394,NigualM
7,0.046117,NigualM
7,0.04914,NigualM
7,0.044289,NigualM
7,0.044476,NigualM
7,0.049111,NigualM
7,0.050707,NigualM
7,0.044309,NigualM
7,0.044741,NigualM
7,0.046324,NigualM
7,0.044152,NigualM
7,0.050575,NigualM
7,0.051178,NigualM
7,0.045532,NigualM
7,0.044731,NigualM
7,0.044403,NigualM
7,0.049726,NigualM
7,0.043969,NigualM
7,0.044884,NigualM
7,0.051637,NigualM
7,0.04463,NigualM
7,0.043838,NigualM
7,0.043911,NigualM
7,0.04474,NigualM
7,0.049499,NigualM
7,0.049201,NigualM
7,0.050019,NigualM
7,0.050915,NigualM
7,0.043871,NigualM
7,0.049047,NigualM
7,0.049452,NigualM
7,0.044105,NigualM
7,0.048974,NigualM
7,0.044339,NigualM
7,0.044557,NigualM
7,0.043431,NigualM
7,0.052258,NigualM
7,0.043718,NigualM
7,0.049418,NigualM
7,0.049546,NigualM
8,0.062921,NigualM
8,0.063765,NigualM
8,0.060421,NigualM
8,0.054156,NigualM
8,0.055209,NigualM
8,0.064113,NigualM
8,0.053568,NigualM
8,0.057668,NigualM
8,0.054063,NigualM
8,0.05593,NigualM
8,0.066774,NigualM
8,0.045674,NigualM
8,0.04612,NigualM
8,0.045449,NigualM
8,0.041615,NigualM
8,0.041532,NigualM
8,0.041923,NigualM
8,0.041465,NigualM
8,0.046122,NigualM
8,0.047171,NigualM
8,0.047191,NigualM
8,0.045987,NigualM
8,0.045171,NigualM
8,0.041139,NigualM
8,0.041303,NigualM
8,0.044922,NigualM
8,0.04588,NigualM
8,0.042156,NigualM
8,0.047721,NigualM
8,0.047007,NigualM
8,0.047323,NigualM
8,0.045851,NigualM
8,0.041394,NigualM
8,0.040981,NigualM
8,0.045609,NigualM
8,0.046499,NigualM
8,0.045118,NigualM
8,0.045825,NigualM
8,0.040119,NigualM
8,0.040016,NigualM
8,0.046271,NigualM
8,0.042434,NigualM
8,0.042943,NigualM
8,0.047939,NigualM
8,0.046018,NigualM
8,0.045571,NigualM
8,0.046323,NigualM
8,0.040679,NigualM
8,0.045637,NigualM
8,0.047218,NigualM
9,0.048691,NigualM
9,0.049863,NigualM
9,0.056206,NigualM
9,0.055974,NigualM
9,0.055889,NigualM
9,0.05557,NigualM
9,0.055282,NigualM
9,0.049308,NigualM
9,0.050503,NigualM
9,0.055886,NigualM
9,0.048731,NigualM
9,0.055249,NigualM
9,0.057948,NigualM
9,0.056944,NigualM
9,0.049103,NigualM
9,0.055378,NigualM
9,0.055519,NigualM
9,0.049374,NigualM
9,0.056686,NigualM
9,0.049061,NigualM
9,0.051515,NigualM
9,0.060071,NigualM
9,0.056297,NigualM
9,0.050992,NigualM
9,0.056583,NigualM
9,0.055929,NigualM
9,0.055297,NigualM
9,0.055833,NigualM
9,0.049341,NigualM
9,0.049496,NigualM
9,0.055891,NigualM
9,0.055302,NigualM
9,0.050521,NigualM
9,0.072101,NigualM
9,0.037288,NigualM
9,0.036668,NigualM
9,0.041322,NigualM
9,0.036136,NigualM
9,0.036054,NigualM
9,0.039558,NigualM
9,0.039937,NigualM
9,0.035645,NigualM
9,0.035915,NigualM
9,0.040431,NigualM
9,0.04074,NigualM
9,0.04114,NigualM
9,0.037,NigualM
9,0.041452,NigualM
9,0.04192,NigualM
9,0.037201,NigualM
10,0.049321,NigualM
10,0.044503,NigualM
10,0.049504,NigualM
10,0.0483,NigualM
10,0.048661,NigualM
10,0.046949,NigualM
10,0.049529,NigualM
10,0.049106,NigualM
10,0.047353,NigualM
10,0.049581,NigualM
10,0.047192,NigualM
10,0.043889,NigualM
10,0.047383,NigualM
10,0.043607,NigualM
10,0.043531,NigualM
10,0.042186,NigualM
10,0.043966,NigualM
10,0.048082,NigualM
10,0.04871,NigualM
10,0.043095,NigualM
10,0.044157,NigualM
10,0.047663,NigualM
10,0.04886,NigualM
10,0.048453,NigualM
10,0.048755,NigualM
10,0.042231,NigualM
10,0.043534,NigualM
10,0.048471,NigualM
10,0.048192,NigualM
10,0.049174,NigualM
10,0.050282,NigualM
10,0.043431,NigualM
10,0.044768,NigualM
10,0.048159,NigualM
10,0.048048,NigualM
10,0.048129,NigualM
10,0.048897,NigualM
10,0.041993,NigualM
10,0.048633,NigualM
10,0.042567,NigualM
10,0.04923,NigualM
10,0.043529,NigualM
10,0.048842,NigualM
10,0.05038,NigualM
10,0.043325,NigualM
10,0.042187,NigualM
10,0.042572,NigualM
10,0.043339,NigualM
10,0.048189,NigualM
10,0.048421,NigualM
11,0.056713,NigualM
11,0.058791,NigualM
11,0.051173,NigualM
11,0.058781,NigualM
11,0.051089,NigualM
11,0.056888,NigualM
11,0.056712,NigualM
11,0.056605,NigualM
11,0.056485,NigualM
11,0.051641,NigualM
11,0.049169,NigualM
11,0.050713,NigualM
11,0.061021,NigualM
11,0.055125,NigualM
11,0.055755,NigualM
11,0.056644,NigualM
11,0.049209,NigualM
11,0.050549,NigualM
11,0.056438,NigualM
11,0.058046,NigualM
11,0.050121,NigualM
11,0.056803,NigualM
11,0.04944,NigualM
11,0.05047,NigualM
11,0.057318,NigualM
11,0.055779,NigualM
11,0.049111,NigualM
11,0.051622,NigualM
11,0.049977,NigualM
11,0.056261,NigualM
11,0.050343,NigualM
11,0.0498,NigualM
11,0.056929,NigualM
11,0.059671,NigualM
11,0.049011,NigualM
11,0.050969,NigualM
11,0.049775,NigualM
11,0.051453,NigualM
11,0.048963,NigualM
11,0.049601,NigualM
11,0.051356,NigualM
11,0.050531,NigualM
11,0.056278,NigualM
11,0.050215,NigualM
11,0.051319,NigualM
11,0.056285,NigualM
11,0.05793,NigualM
11,0.05094,NigualM
11,0.055374,NigualM
11,0.057021,NigualM
12,0.065197,NigualM
12,0.067457,NigualM
12,0.065336,NigualM
12,0.065916,NigualM
12,0.065833,NigualM
12,0.057787,NigualM
12,0.06445,NigualM
12,0.059871,NigualM
12,0.065582,NigualM
12,0.05872,NigualM
12,0.066416,NigualM
12,0.067818,NigualM
12,0.058988,NigualM
12,0.065286,NigualM
12,0.058772,NigualM
12,0.059452,NigualM
12,0.056711,NigualM
12,0.065024,NigualM
12,0.065536,NigualM
12,0.064046,NigualM
12,0.06774,NigualM
12,0.049853,NigualM
12,0.064525,NigualM
12,0.057863,NigualM
12,0.065888,NigualM
12,0.057892,NigualM
12,0.068789,NigualM
12,0.065578,NigualM
12,0.058526,NigualM
12,0.058173,NigualM
12,0.067896,NigualM
12,0.065165,NigualM
12,0.066919,NigualM
12,0.05808,NigualM
12,0.067276,NigualM
12,0.060301,NigualM
12,0.067305,NigualM
12,0.05755,NigualM
12,0.066633,NigualM
12,0.064101,NigualM
12,0.064686,NigualM
12,0.067504,NigualM
12,0.064628,NigualM
12,0.066384,NigualM
12,0.057961,NigualM
12,0.065447,NigualM
12,0.066755,NigualM
12,0.068238,NigualM
12,0.057954,NigualM
12,0.058323,NigualM
13,0.067134,NigualM
13,0.066616,NigualM
13,0.066611,NigualM
13,0.0683,NigualM
13,0.066664,NigualM
13,0.076847,NigualM
13,0.075038,NigualM
13,0.073863,NigualM
13,0.074306,NigualM
13,0.075545,NigualM
13,0.076615,NigualM
13,0.076143,NigualM
13,0.066927,NigualM
13,0.075329,NigualM
13,0.076275,NigualM
13,0.068758,NigualM
13,0.075571,NigualM
13,0.07462,NigualM
13,0.06601,NigualM
13,0.073476,NigualM
13,0.066511,NigualM
13,0.066758,NigualM
13,0.065814,NigualM
13,0.066369,NigualM
13,0.07569,NigualM
13,0.075163,NigualM
13,0.073942,NigualM
13,0.076748,NigualM
13,0.077361,NigualM
13,0.066971,NigualM
13,0.075153,NigualM
13,0.089646,NigualM
13,0.073412,NigualM
13,0.071207,NigualM
13,0.072079,NigualM
13,0.061982,NigualM
13,0.063634,NigualM
13,0.072187,NigualM
13,0.071151,NigualM
13,0.062372,NigualM
13,0.07258,NigualM
13,0.070954,NigualM
13,0.063494,NigualM
13,0.071568,NigualM
13,0.073224,NigualM
13,0.064174,NigualM
13,0.063784,NigualM
13,0.072697,NigualM
13,0.071521,NigualM
13,0.073034,NigualM
14,0.082756,NigualM
14,0.081483,NigualM
14,0.08165,NigualM
14,0.073669,NigualM
14,0.083176,NigualM
14,0.081258,NigualM
14,0.084777,NigualM
14,0.071804,NigualM
14,0.084099,NigualM
14,0.072475,NigualM
14,0.071215,NigualM
14,0.072475,NigualM
14,0.083404,NigualM
14,0.08307,NigualM
14,0.073265,NigualM
14,0.081823,NigualM
14,0.072737,NigualM
14,0.082767,NigualM
14,0.080939,NigualM
14,0.086017,NigualM
14,0.080393,NigualM
14,0.072992,NigualM
14,0.08172,NigualM
14,0.084754,NigualM
14,0.072988,NigualM
14,0.08342,NigualM
14,0.084051,NigualM
14,0.08428,NigualM
14,0.083008,NigualM
14,0.071659,NigualM
14,0.08039,NigualM
14,0.084175,NigualM
14,0.072133,NigualM
14,0.07386,NigualM
14,0.081087,NigualM
14,0.081674,NigualM
14,0.073746,NigualM
14,0.081887,NigualM
14,0.082907,NigualM
14,0.083622,NigualM
14,0.075724,NigualM
14,0.081714,NigualM
14,0.073399,NigualM
14,0.070736,NigualM
14,0.074812,NigualM
14,0.072777,NigualM
14,0.073601,NigualM
14,0.082611,NigualM
14,0.072705,NigualM
14,0.08196,NigualM
15,0.081604,NigualM
15,0.092347,NigualM
15,0.09189,NigualM
15,0.082113,NigualM
15,0.092263,NigualM
15,0.082774,NigualM
15,0.091543,NigualM
15,0.091663,NigualM
15,0.093085,NigualM
15,0.093852,NigualM
15,0.082286,NigualM
15,0.083182,NigualM
15,0.093422,NigualM
15,0.095013,NigualM
15,0.094455,NigualM
15,0.092576,NigualM
15,0.09384,NigualM
15,0.082493,NigualM
15,0.093601,NigualM
15,0.084949,NigualM
15,0.091755,NigualM
15,0.08066,NigualM
15,0.094044,NigualM
15,0.094594,NigualM
15,0.091848,NigualM
15,0.081695,NigualM
15,0.122619,NigualM
15,0.064597,NigualM
15,0.066418,NigualM
15,0.065648,NigualM
15,0.057315,NigualM
15,0.064439,NigualM
15,0.058635,NigualM
15,0.064198,NigualM
15,0.059075,NigualM
15,0.064914,NigualM
15,0.057877,NigualM
15,0.066261,NigualM
15,0.057298,NigualM
15,0.06522,NigualM
15,0.065341,NigualM
15,0.065674,NigualM
15,0.065443,NigualM
15,0.057088,NigualM
15,0.063398,NigualM
15,0.064052,NigualM
15,0.063998,NigualM
15,0.064633,NigualM
15,0.056473,NigualM
15,0.064926,NigualM
16,0.072031,NigualM
16,0.072126,NigualM
16,0.064033,NigualM
16,0.07271,NigualM
16,0.06473,NigualM
16,0.07495,NigualM
16,0.074259,NigualM
16,0.073651,NigualM
16,0.063258,NigualM
16,0.064236,NigualM
16,0.064154,NigualM
16,0.064846,NigualM
16,0.065307,NigualM
16,0.065075,NigualM
16,0.074169,NigualM
16,0.073258,NigualM
16,0.064213,NigualM
16,0.06411,NigualM
16,0.064765,NigualM
16,0.072149,NigualM
16,0.06465,NigualM
16,0.063175,NigualM
16,0.072742,NigualM
16,0.063597,NigualM
16,0.075503,NigualM
16,0.073718,NigualM
16,0.072461,NigualM
16,0.07468,NigualM
16,0.072894,NigualM
16,0.073077,NigualM
16,0.063069,NigualM
16,0.063691,NigualM
16,0.072947,NigualM
16,0.104847,NigualM
16,0.074124,NigualM
16,0.071227,NigualM
16,0.071637,NigualM
16,0.07249,NigualM
16,0.072316,NigualM
16,0.062344,NigualM
16,0.073486,NigualM
16,0.073299,NigualM
16,0.065168,NigualM
16,0.072283,NigualM
16,0.063876,NigualM
16,0.063698,NigualM
16,0.065959,NigualM
16,0.067041,NigualM
16,0.064427,NigualM
16,0.064542,NigualM
17,0.080859,NigualM
17,0.072022,NigualM
17,0.080247,NigualM
17,0.081003,NigualM
17,0.071847,NigualM
17,0.081331,NigualM
17,0.073666,NigualM
17,0.081418,NigualM
17,0.080023,NigualM
17,0.081461,NigualM
17,0.072791,NigualM
17,0.081736,NigualM
17,0.081142,NigualM
17,0.080606,NigualM
17,0.092556,NigualM
17,0.080141,NigualM
17,0.080798,NigualM
17,0.079403,NigualM
17,0.082324,NigualM
17,0.073815,NigualM
17,0.071992,NigualM
17,0.079625,NigualM
17,0.070734,NigualM
17,0.082317,NigualM
17,0.081733,NigualM
17,0.072925,NigualM
17,0.080543,NigualM
17,0.075242,NigualM
17,0.071838,NigualM
17,0.071534,NigualM
17,0.082313,NigualM
17,0.081856,NigualM
17,0.08224,NigualM
17,0.103976,NigualM
17,0.090856,NigualM
17,0.083049,NigualM
17,0.071596,NigualM
17,0.0799,NigualM
17,0.080032,NigualM
17,0.07133,NigualM
17,0.079394,NigualM
17,0.073334,NigualM
17,0.072727,NigualM
17,0.083915,NigualM
17,0.080758,NigualM
17,0.072044,NigualM
17,0.082952,NigualM
17,0.081772,NigualM
17,0.081827,NigualM
17,0.073478,NigualM
18,0.089376,NigualM
18,0.090156,NigualM
18,0.088532,NigualM
18,0.09172,NigualM
18,0.090537,NigualM
18,0.087869,NigualM
18,0.078855,NigualM
18,0.092818,NigualM
18,0.089807,NigualM
18,0.080397,NigualM
18,0.091461,NigualM
18,0.079547,NigualM
18,0.094391,NigualM
18,0.089678,NigualM
18,0.090544,NigualM
18,0.081593,NigualM
18,0.093061,NigualM
18,0.080839,NigualM
18,0.091418,NigualM
18,0.080155,NigualM
18,0.089637,NigualM
18,0.079984,NigualM
18,0.079657,NigualM
18,0.079389,NigualM
18,0.091942,NigualM
18,0.089889,NigualM
18,0.089929,NigualM
18,0.079156,NigualM
18,0.081078,NigualM
18,0.115442,NigualM
18,0.093847,NigualM
18,0.091597,NigualM
18,0.081583,NigualM
18,0.093492,NigualM
18,0.091547,NigualM
18,0.083204,NigualM
18,0.09264,NigualM
18,0.095224,NigualM
18,0.092212,NigualM
18,0.093822,NigualM
18,0.093567,NigualM
18,0.093479,NigualM
18,0.083975,NigualM
18,0.095456,NigualM
18,0.093969,NigualM
18,0.093444,NigualM
18,0.081523,NigualM
18,0.094095,NigualM
18,0.093033,NigualM
18,0.09216,NigualM
19,0.103233,NigualM
19,0.103599,NigualM
19,0.101097,NigualM
19,0.102704,NigualM
19,0.090561,NigualM
19,0.090545,NigualM
19,0.090097,NigualM
19,0.103647,NigualM
19,0.102387,NigualM
19,0.103209,NigualM
19,0.101155,NigualM
19,0.105371,NigualM
19,0.089307,NigualM
19,0.102877,NigualM
19,0.101749,NigualM
19,0.101848,NigualM
19,0.101631,NigualM
19,0.090183,NigualM
19,0.101541,NigualM
19,0.104506,NigualM
19,0.090514,NigualM
19,0.090549,NigualM
19,0.103366,NigualM
19,0.101988,NigualM
19,0.10329,NigualM
19,0.10335,NigualM
19,0.090327,NigualM
19,0.103532,NigualM
19,0.103137,NigualM
19,0.101564,NigualM
19,0.089091,NigualM
19,0.101369,NigualM
19,0.089488,NigualM
19,0.090703,NigualM
19,0.103458,NigualM
19,0.10536,NigualM
19,0.090177,NigualM
19,0.102035,NigualM
19,0.102878,NigualM
19,0.102421,NigualM
19,0.10184,NigualM
19,0.092509,NigualM
19,0.102968,NigualM
19,0.090263,NigualM
19,0.10168,NigualM
19,0.104712,NigualM
19,0.091785,NigualM
19,0.091368,NigualM
19,0.104031,NigualM
19,0.107397,NigualM
20,0.099733,NigualM
20,0.137853,NigualM
20,0.112789,NigualM
20,0.113033,NigualM
20,0.135944,NigualM
20,0.113081,NigualM
20,0.131588,NigualM
20,0.101321,NigualM
20,0.116231,NigualM
20,0.114684,NigualM
20,0.11151,NigualM
20,0.099484,NigualM
20,0.115662,NigualM
20,0.09716,NigualM
20,0.112195,NigualM
20,0.111275,NigualM
20,0.113044,NigualM
20,0.097912,NigualM
20,0.11248,NigualM
20,0.111857,NigualM
20,0.102047,NigualM
20,0.098075,NigualM
20,0.100589,NigualM
20,0.113164,NigualM
20,0.096846,NigualM
20,0.113562,NigualM
20,0.112544,NigualM
20,0.099606,NigualM
20,0.10211,NigualM
20,0.100069,NigualM
20,0.115158,NigualM
20,0.115148,NigualM
20,0.114976,NigualM
20,0.11248,NigualM
20,0.101009,NigualM
20,0.112607,NigualM
20,0.099458,NigualM
20,0.099931,NigualM
20,0.111398,NigualM
20,0.115026,NigualM
20,0.112549,NigualM
20,0.112618,NigualM
20,0.09984,NigualM
20,0.101437,NigualM
20,0.112846,NigualM
20,0.112625,NigualM
20,0.113044,NigualM
20,0.11263,NigualM
20,0.102902,NigualM
20,0.111932,NigualM
21,0.108095,NigualM
21,0.123888,NigualM
21,0.109387,NigualM
21,0.124109,NigualM
21,0.122804,NigualM
21,0.108269,NigualM
21,0.122799,NigualM
21,0.108888,NigualM
21,0.121988,NigualM
21,0.125544,NigualM
21,0.11003,NigualM
21,0.10801,NigualM
21,0.12381,NigualM
21,0.109334,NigualM
21,0.122,NigualM
21,0.121652,NigualM
21,0.124248,NigualM
21,0.125357,NigualM
21,0.121472,NigualM
21,0.121289,NigualM
21,0.111318,NigualM
21,0.125864,NigualM
21,0.123001,NigualM
21,0.109122,NigualM
21,0.108118,NigualM
21,0.122917,NigualM
21,0.133446,NigualM
21,0.105549,NigualM
21,0.106879,NigualM
21,0.106452,NigualM
21,0.118136,NigualM
21,0.104116,NigualM
21,0.11901,NigualM
21,0.120219,NigualM
21,0.117664,NigualM
21,0.118168,NigualM
21,0.120128,NigualM
21,0.11975,NigualM
21,0.119211,NigualM
21,0.119371,NigualM
21,0.105098,NigualM
21,0.118418,NigualM
21,0.102822,NigualM
21,0.106713,NigualM
21,0.106692,NigualM
21,0.10549,NigualM
21,0.121298,NigualM
21,0.103627,NigualM
21,0.121612,NigualM
21,0.107737,NigualM
22,0.117755,NigualM
22,0.130962,NigualM
22,0.130761,NigualM
22,0.129778,NigualM
22,0.131229,NigualM
22,0.130089,NigualM
22,0.130043,NigualM
22,0.117076,NigualM
22,0.12998,NigualM
22,0.13252,NigualM
22,0.115639,NigualM
22,0.129856,NigualM
22,0.131274,NigualM
22,0.131249,NigualM
22,0.128941,NigualM
22,0.129564,NigualM
22,0.129003,NigualM
22,0.112459,NigualM
22,0.131769,NigualM
22,0.131398,NigualM
22,0.131898,NigualM
22,0.12987,NigualM
22,0.13291,NigualM
22,0.133248,NigualM
22,0.114812,NigualM
22,0.132356,NigualM
22,0.115337,NigualM
22,0.114049,NigualM
22,0.134559,NigualM
22,0.114588,NigualM
22,0.129695,NigualM
22,0.116057,NigualM
22,0.128537,NigualM
22,0.129844,NigualM
22,0.135187,NigualM
22,0.114754,NigualM
22,0.132714,NigualM
22,0.115367,NigualM
22,0.132331,NigualM
22,0.130123,NigualM
22,0.115817,NigualM
22,0.133079,NigualM
22,0.114004,NigualM
22,0.116658,NigualM
22,0.129824,NigualM
22,0.131775,NigualM
22,0.130347,NigualM
22,0.13244,NigualM
22,0.129637,NigualM
22,0.129245,NigualM
23,0.143572,NigualM
23,0.128092,NigualM
23,0.126902,NigualM
23,0.142906,NigualM
23,0.143918,NigualM
23,0.142022,NigualM
23,0.125576,NigualM
23,0.140543,NigualM
23,0.140761,NigualM
23,0.140003,NigualM
23,0.12638,NigualM
