cantNod,Tiempo_ms,Tipo
2,0.016594,Completo
2,0.021009,Completo
2,0.013472,Completo
2,0.014531,Completo
2,0.01149,Completo
2,0.014117,Completo
2,0.009787,Completo
2,0.013577,Completo
2,0.014898,Completo
2,0.011161,Completo
2,0.015628,Completo
2,0.011294,Completo
2,0.014444,Completo
2,0.008,Completo
2,0.014943,Completo
2,0.012726,Completo
2,0.015031,Completo
2,0.013235,Completo
2,0.012865,Completo
2,0.015465,Completo
2,0.013078,Completo
2,0.015083,Completo
2,0.009534,Completo
2,0.015432,Completo
2,0.011763,Completo
2,0.01254,Completo
2,0.011992,Completo
2,0.010304,Completo
2,0.010299,Completo
2,0.013784,Completo
2,0.011603,Completo
2,0.011526,Completo
2,0.01396,Completo
2,0.012986,Completo
2,0.010336,Completo
2,0.011867,Completo
2,0.0102,Completo
2,0.013708,Completo
2,0.013139,Completo
2,0.013447,Completo
3,0.024012,Completo
3,0.034316,Completo
3,0.025712,Completo
3,0.026169,Completo
3,0.023598,Completo
3,0.026168,Completo
3,0.025475,Completo
3,0.02618,Completo
3,0.022929,Completo
3,0.022501,Completo
3,0.025728,Completo
3,0.02248,Completo
3,0.023943,Completo
3,0.019421,Completo
3,0.026477,Completo
3,0.02628,Completo
3,0.023158,Completo
3,0.023042,Completo
3,0.022684,Completo
3,0.025338,Completo
3,0.024436,Completo
3,0.025583,Completo
3,0.025342,Completo
3,0.023061,Completo
3,0.025784,Completo
3,0.023908,Completo
3,0.026352,Completo
3,0.023839,Completo
3,0.023037,Completo
3,0.022284,Completo
3,0.025054,Completo
3,0.022648,Completo
3,0.022347,Completo
3,0.026,Completo
3,0.023001,Completo
3,0.024705,Completo
3,0.025896,Completo
3,0.022889,Completo
3,0.02582,Completo
3,0.022364,Completo
4,0.047453,Completo
4,0.043132,Completo
4,0.048188,Completo
4,0.041969,Completo
4,0.04589,Completo
4,0.04518,Completo
4,0.04634,Completo
4,0.04761,Completo
4,0.045044,Completo
4,0.04702,Completo
4,0.046302,Completo
4,0.041788,Completo
4,0.046051,Completo
4,0.040325,Completo
4,0.045674,Completo
4,0.047273,Completo
4,0.045633,Completo
4,0.039238,Completo
4,0.041592,Completo
4,0.047474,Completo
4,0.040766,Completo
4,0.046199,Completo
4,0.045893,Completo
4,0.040963,Completo
4,0.04132,Completo
4,0.041906,Completo
4,0.041629,Completo
4,0.04664,Completo
4,0.04083,Completo
4,0.045762,Completo
4,0.046375,Completo
4,0.04698,Completo
4,0.047157,Completo
4,0.046671,Completo
4,0.046218,Completo
4,0.043881,Completo
4,0.041428,Completo
4,0.04211,Completo
4,0.04654,Completo
4,0.04577,Completo
5,0.071713,Completo
5,0.088908,Completo
5,0.057927,Completo
5,0.064229,Completo
5,0.065876,Completo
5,0.064325,Completo
5,0.062922,Completo
5,0.064128,Completo
5,0.05655,Completo
5,0.066053,Completo
5,0.063623,Completo
5,0.064151,Completo
5,0.063116,Completo
5,0.065651,Completo
5,0.057984,Completo
5,0.063189,Completo
5,0.065063,Completo
5,0.057249,Completo
5,0.057586,Completo
5,0.064726,Completo
5,0.064853,Completo
5,0.064946,Completo
5,0.065645,Completo
5,0.059053,Completo
5,0.056674,Completo
5,0.065317,Completo
5,0.05909,Completo
5,0.061646,Completo
5,0.062013,Completo
5,0.059066,Completo
5,0.059347,Completo
5,0.056838,Completo
5,0.065378,Completo
5,0.057363,Completo
5,0.058946,Completo
5,0.063216,Completo
5,0.057917,Completo
5,0.06346,Completo
5,0.064069,Completo
5,0.06345,Completo
6,0.091899,Completo
6,0.105804,Completo
6,0.104288,Completo
6,0.092186,Completo
6,0.100916,Completo
6,0.094128,Completo
6,0.102103,Completo
6,0.104823,Completo
6,0.102433,Completo
6,0.099215,Completo
6,0.108707,Completo
6,0.102484,Completo
6,0.101652,Completo
6,0.103319,Completo
6,0.102336,Completo
6,0.102373,Completo
6,0.101123,Completo
6,0.09505,Completo
6,0.100229,Completo
6,0.102289,Completo
6,0.091509,Completo
6,0.105651,Completo
6,0.092797,Completo
6,0.090215,Completo
6,0.093146,Completo
6,0.104081,Completo
6,0.101434,Completo
6,0.101922,Completo
6,0.093285,Completo
6,0.101237,Completo
6,0.090506,Completo
6,0.094472,Completo
6,0.100683,Completo
6,0.094137,Completo
6,0.090659,Completo
6,0.091344,Completo
6,0.104181,Completo
6,0.101525,Completo
6,0.099183,Completo
6,0.093937,Completo
7,0.151403,Completo
7,0.139075,Completo
7,0.136683,Completo
7,0.136291,Completo
7,0.152212,Completo
7,0.156036,Completo
7,0.127217,Completo
7,0.142243,Completo
7,0.139297,Completo
7,0.125936,Completo
7,0.125714,Completo
7,0.141836,Completo
7,0.14383,Completo
7,0.144027,Completo
7,0.140925,Completo
7,0.139866,Completo
7,0.141925,Completo
7,0.122855,Completo
7,0.128042,Completo
7,0.13065,Completo
7,0.138678,Completo
7,0.127097,Completo
7,0.125132,Completo
7,0.126845,Completo
7,0.123555,Completo
7,0.142681,Completo
7,0.138844,Completo
7,0.126937,Completo
7,0.139551,Completo
7,0.140782,Completo
7,0.139134,Completo
7,0.140717,Completo
7,0.137813,Completo
7,0.096352,Completo
7,0.09784,Completo
7,0.096081,Completo
7,0.09775,Completo
7,0.095838,Completo
7,0.086074,Completo
7,0.096305,Completo
8,0.139666,Completo
8,0.137592,Completo
8,0.140001,Completo
8,0.139998,Completo
8,0.122536,Completo
8,0.125429,Completo
8,0.13706,Completo
8,0.127234,Completo
8,0.124979,Completo
8,0.138818,Completo
8,0.142638,Completo
8,0.125511,Completo
8,0.139106,Completo
8,0.13773,Completo
8,0.122965,Completo
8,0.13801,Completo
8,0.138766,Completo
8,0.141,Completo
8,0.125402,Completo
8,0.137482,Completo
8,0.120278,Completo
8,0.138197,Completo
8,0.141704,Completo
8,0.127065,Completo
8,0.137638,Completo
8,0.139137,Completo
8,0.123458,Completo
8,0.137679,Completo
8,0.139589,Completo
8,0.141082,Completo
8,0.122327,Completo
8,0.136082,Completo
8,0.121051,Completo
8,0.140985,Completo
8,0.139938,Completo
8,0.138526,Completo
8,0.137388,Completo
8,0.122475,Completo
8,0.128752,Completo
8,0.137758,Completo
9,0.191712,Completo
9,0.18964,Completo
9,0.194143,Completo
9,0.190164,Completo
9,0.167619,Completo
9,0.17212,Completo
9,0.17088,Completo
9,0.190061,Completo
9,0.165859,Completo
9,0.183029,Completo
9,0.159352,Completo
9,0.163229,Completo
9,0.184865,Completo
9,0.189468,Completo
9,0.163025,Completo
9,0.180698,Completo
9,0.162331,Completo
9,0.186539,Completo
9,0.183056,Completo
9,0.182358,Completo
9,0.182662,Completo
9,0.179354,Completo
9,0.166146,Completo
9,0.165312,Completo
9,0.180247,Completo
9,0.185782,Completo
9,0.166348,Completo
9,0.184789,Completo
9,0.161343,Completo
9,0.186694,Completo
9,0.179575,Completo
9,0.161371,Completo
9,0.160568,Completo
9,0.183579,Completo
9,0.165021,Completo
9,0.164879,Completo
9,0.164197,Completo
9,0.161986,Completo
9,0.180056,Completo
9,0.180431,Completo
10,0.2445,Completo
10,0.245914,Completo
10,0.245309,Completo
10,0.2455,Completo
10,0.244674,Completo
10,0.252754,Completo
10,0.245575,Completo
10,0.223202,Completo
10,0.246289,Completo
10,0.24727,Completo
10,0.247039,Completo
10,0.244066,Completo
10,0.21874,Completo
10,0.22476,Completo
10,0.247848,Completo
10,0.223961,Completo
10,0.220135,Completo
10,0.244573,Completo
10,0.213617,Completo
10,0.247588,Completo
10,0.24649,Completo
10,0.218962,Completo
10,0.241278,Completo
10,0.250495,Completo
10,0.225942,Completo
10,0.235917,Completo
10,0.207985,Completo
10,0.237432,Completo
10,0.235838,Completo
10,0.230855,Completo
10,0.238317,Completo
10,0.232827,Completo
10,0.239268,Completo
10,0.233887,Completo
10,0.234463,Completo
10,0.210541,Completo
10,0.234428,Completo
10,0.237008,Completo
10,0.231868,Completo
10,0.232017,Completo
11,0.282602,Completo
11,0.316602,Completo
11,0.298408,Completo
11,0.302128,Completo
11,0.304191,Completo
11,0.311445,Completo
11,0.273791,Completo
11,0.274986,Completo
11,0.303968,Completo
11,0.313417,Completo
11,0.306738,Completo
11,0.307249,Completo
11,0.270677,Completo
11,0.304958,Completo
11,0.253916,Completo
11,0.259585,Completo
11,0.22792,Completo
11,0.225701,Completo
11,0.254727,Completo
11,0.25445,Completo
11,0.232983,Completo
11,0.22696,Completo
11,0.257344,Completo
11,0.227961,Completo
11,0.258203,Completo
