cantNod,Tiempo_ms,Tipo
2,21.1163,MedC
2,14.4962,MedC
2,13.613,MedC
2,12.8517,MedC
2,12.2808,MedC
2,11.7741,MedC
2,11.3195,MedC
2,10.8905,MedC
2,10.5528,MedC
2,10.2244,MedC
2,9.91709,MedC
2,9.65558,MedC
2,9.33509,MedC
2,9.13753,MedC
2,8.93196,MedC
2,8.76935,MedC
2,8.7766,MedC
2,8.75578,MedC
2,8.77721,MedC
2,8.75592,MedC
2,8.77643,MedC
2,8.77619,MedC
2,8.78745,MedC
2,8.75943,MedC
2,8.77989,MedC
2,8.75767,MedC
2,8.80077,MedC
2,8.76856,MedC
2,8.77115,MedC
2,8.77914,MedC
2,8.75677,MedC
2,8.77999,MedC
2,8.75645,MedC
2,8.78118,MedC
2,8.7593,MedC
2,8.77835,MedC
2,8.75722,MedC
2,8.77805,MedC
2,8.76948,MedC
2,8.76755,MedC
3,17.911,MedC
3,17.9885,MedC
3,17.8948,MedC
3,17.8083,MedC
3,17.9852,MedC
3,17.8269,MedC
3,17.9382,MedC
3,17.836,MedC
3,17.9235,MedC
3,17.975,MedC
3,18.0549,MedC
3,18.0688,MedC
3,17.9192,MedC
3,17.8195,MedC
3,17.8355,MedC
3,17.9701,MedC
3,18.0074,MedC
3,17.8981,MedC
3,17.9367,MedC
3,17.9002,MedC
3,18.0725,MedC
3,17.7892,MedC
3,17.8616,MedC
3,17.8285,MedC
3,17.8346,MedC
3,17.8041,MedC
3,17.7704,MedC
3,17.9552,MedC
3,17.9116,MedC
3,17.9261,MedC
3,17.8354,MedC
3,17.8441,MedC
3,18.0097,MedC
3,17.9478,MedC
3,17.9293,MedC
3,17.8713,MedC
3,18.1058,MedC
3,17.9091,MedC
3,18.0034,MedC
3,17.9433,MedC
4,18.8056,MedC
4,18.7556,MedC
4,18.6305,MedC
4,19.1276,MedC
4,18.893,MedC
4,18.8385,MedC
4,18.9574,MedC
4,18.8569,MedC
4,18.8706,MedC
4,18.6295,MedC
4,18.7715,MedC
4,18.7871,MedC
4,18.904,MedC
4,18.7211,MedC
4,18.7902,MedC
4,18.9494,MedC
4,18.8157,MedC
4,18.7742,MedC
4,18.922,MedC
4,18.7131,MedC
4,18.8989,MedC
4,18.829,MedC
4,18.9167,MedC
4,18.5594,MedC
4,18.713,MedC
4,18.8153,MedC
4,18.6397,MedC
4,18.8129,MedC
4,18.6761,MedC
4,18.5269,MedC
4,18.6777,MedC
4,18.8012,MedC
4,18.769,MedC
4,18.6421,MedC
4,18.9544,MedC
4,19.1146,MedC
4,18.8277,MedC
4,18.7601,MedC
4,18.5961,MedC
4,18.7121,MedC
5,28.1342,MedC
5,28.0172,MedC
5,28.211,MedC
5,28.2117,MedC
5,28.2254,MedC
5,28.504,MedC
5,28.3813,MedC
5,28.1671,MedC
5,28.3218,MedC
5,28.3555,MedC
5,28.054,MedC
5,28.1582,MedC
5,28.2519,MedC
5,28.6414,MedC
5,28.0143,MedC
5,28.233,MedC
5,28.1418,MedC
5,28.5298,MedC
5,27.8228,MedC
5,28.0474,MedC
5,28.1011,MedC
5,27.9569,MedC
5,28.1263,MedC
5,28.254,MedC
5,28.3369,MedC
5,28.2643,MedC
5,28.2707,MedC
5,28.153,MedC
5,28.2043,MedC
5,28.2549,MedC
5,28.2686,MedC
5,28.3067,MedC
5,28.1563,MedC
5,28.5801,MedC
5,28.1725,MedC
5,28.4104,MedC
5,27.749,MedC
5,28.281,MedC
5,28.2233,MedC
