cantNod,Tiempo,Tipo
2,0.320906,MinC
2,0.328458,MinC
2,0.355594,MinC
2,0.320955,MinC
2,0.307336,MinC
2,0.329653,MinC
2,0.311474,MinC
2,0.306972,MinC
2,0.316088,MinC
2,0.316896,MinC
2,0.330289,MinC
2,0.37768,MinC
2,0.325143,MinC
2,0.314678,MinC
2,0.346006,MinC
2,0.320212,MinC
2,0.313251,MinC
2,0.336629,MinC
2,0.320946,MinC
2,0.345498,MinC
2,0.316127,MinC
2,0.309624,MinC
2,0.311217,MinC
2,0.320257,MinC
2,0.320494,MinC
2,0.307797,MinC
2,0.434205,MinC
2,0.443723,MinC
2,0.31876,MinC
2,0.316008,MinC
2,0.317983,MinC
2,0.323302,MinC
2,0.32138,MinC
2,0.315721,MinC
2,0.310762,MinC
2,0.319126,MinC
2,0.305624,MinC
2,0.305218,MinC
2,0.344746,MinC
2,0.323914,MinC
3,0.633817,MinC
3,0.649154,MinC
3,0.633791,MinC
3,0.602677,MinC
3,0.644154,MinC
3,0.659374,MinC
3,0.6082,MinC
3,0.637539,MinC
3,0.607204,MinC
3,0.646748,MinC
3,0.656871,MinC
3,0.645443,MinC
3,0.602953,MinC
3,0.609355,MinC
3,0.627223,MinC
3,0.608039,MinC
3,0.630083,MinC
3,0.690792,MinC
3,0.683817,MinC
3,0.716876,MinC
3,0.615549,MinC
3,0.633999,MinC
3,0.609601,MinC
3,0.659177,MinC
3,0.638781,MinC
3,0.631258,MinC
3,0.663679,MinC
3,0.619255,MinC
3,0.619086,MinC
3,0.650895,MinC
3,0.640813,MinC
3,0.63547,MinC
3,0.626672,MinC
3,0.638012,MinC
3,0.641647,MinC
3,0.63088,MinC
3,0.665347,MinC
3,0.617781,MinC
3,0.603404,MinC
3,0.610398,MinC
4,0.635741,MinC
4,0.610966,MinC
4,0.640415,MinC
4,0.615439,MinC
4,0.618072,MinC
4,0.626177,MinC
4,0.646829,MinC
4,0.669224,MinC
4,0.623816,MinC
4,0.609764,MinC
4,0.615241,MinC
4,0.615301,MinC
4,0.624386,MinC
4,0.633194,MinC
4,0.615792,MinC
4,0.604642,MinC
4,0.627319,MinC
4,0.621925,MinC
4,0.636024,MinC
4,0.63764,MinC
4,0.627951,MinC
4,0.626189,MinC
4,0.793376,MinC
4,0.757054,MinC
4,0.602265,MinC
4,0.623842,MinC
4,0.63449,MinC
4,0.637938,MinC
4,0.639306,MinC
4,0.619261,MinC
4,0.638409,MinC
4,0.645147,MinC
4,0.612461,MinC
4,0.605196,MinC
4,0.618113,MinC
4,0.658345,MinC
4,0.602816,MinC
4,0.636521,MinC
4,0.644746,MinC
4,0.626904,MinC
5,0.916658,MinC
5,0.959401,MinC
5,0.910104,MinC
5,0.946128,MinC
5,0.915598,MinC
5,0.923103,MinC
5,0.923649,MinC
5,0.93451,MinC
5,0.950228,MinC
5,0.931023,MinC
5,0.919707,MinC
5,0.901766,MinC
5,0.921856,MinC
5,0.926601,MinC
5,0.930053,MinC
5,0.905043,MinC
5,0.92229,MinC
5,0.943848,MinC
5,0.905543,MinC
5,0.963453,MinC
5,0.921731,MinC
5,0.91634,MinC
5,0.905196,MinC
5,0.903476,MinC
5,0.915765,MinC
5,0.929082,MinC
5,0.932165,MinC
5,0.92995,MinC
5,0.899561,MinC
5,0.941415,MinC
5,0.959482,MinC
5,0.912969,MinC
5,0.929221,MinC
5,0.916746,MinC
5,0.923665,MinC
5,0.910841,MinC
5,0.952138,MinC
5,0.927342,MinC
5,0.912894,MinC
5,0.917967,MinC
6,0.902445,MinC
6,0.913351,MinC
6,0.919654,MinC
6,0.908105,MinC
6,0.910992,MinC
6,0.909967,MinC
6,0.901599,MinC
6,0.931175,MinC
6,0.899988,MinC
6,0.925985,MinC
6,0.905086,MinC
6,0.913291,MinC
6,0.956852,MinC
6,0.902363,MinC
6,0.907058,MinC
6,0.958723,MinC
6,0.905629,MinC
6,0.941458,MinC
6,0.899472,MinC
6,0.916123,MinC
6,0.918551,MinC
6,0.900357,MinC
6,0.904861,MinC
6,0.900785,MinC
6,0.933178,MinC
6,0.927318,MinC
6,0.904277,MinC
6,0.922472,MinC
6,0.898501,MinC
6,0.901633,MinC
6,0.928124,MinC
6,0.909844,MinC
6,0.909995,MinC
6,0.90286,MinC
6,0.918273,MinC
6,0.921026,MinC
6,0.9186,MinC
6,0.915476,MinC
6,0.936916,MinC
6,0.913725,MinC
7,1.23117,MinC
7,1.23959,MinC
7,1.19216,MinC
7,1.22224,MinC
7,1.24045,MinC
7,1.22904,MinC
7,1.19579,MinC
7,1.2256,MinC
7,1.19505,MinC
7,1.19979,MinC
7,1.23546,MinC
7,1.25267,MinC
7,0.909252,MinC
7,0.924768,MinC
7,1.21606,MinC
7,1.20137,MinC
7,1.21382,MinC
7,1.23836,MinC
7,1.19775,MinC
7,1.20945,MinC
7,1.236,MinC
7,1.22228,MinC
7,1.23989,MinC
7,1.21175,MinC
7,1.20765,MinC
7,1.19504,MinC
7,1.21972,MinC
7,1.21586,MinC
7,1.18926,MinC
7,1.23956,MinC
7,0.935233,MinC
7,1.22406,MinC
7,0.92029,MinC
7,1.2047,MinC
7,1.2028,MinC
7,1.20773,MinC
