cantNod,Tiempo,Tipo
2,0.006887,MitadAristas
2,0.005197,MitadAristas
2,0.004148,MitadAristas
2,0.004146,MitadAristas
2,0.004248,MitadAristas
2,0.004271,MitadAristas
2,0.004615,MitadAristas
2,0.004424,MitadAristas
2,0.004189,MitadAristas
2,0.003524,MitadAristas
2,0.003602,MitadAristas
2,0.004741,MitadAristas
2,0.004184,MitadAristas
2,0.004415,MitadAristas
2,0.003899,MitadAristas
2,0.004793,MitadAristas
2,0.004518,MitadAristas
2,0.004882,MitadAristas
2,0.004582,MitadAristas
2,0.004007,MitadAristas
2,0.004154,MitadAristas
2,0.003918,MitadAristas
2,0.004385,MitadAristas
2,0.004732,MitadAristas
2,0.004274,MitadAristas
2,0.004132,MitadAristas
2,0.004046,MitadAristas
2,0.004131,MitadAristas
2,0.003988,MitadAristas
2,0.004042,MitadAristas
2,0.004375,MitadAristas
2,0.004513,MitadAristas
2,0.004066,MitadAristas
2,0.003031,MitadAristas
2,0.004202,MitadAristas
2,0.003489,MitadAristas
2,0.0043,MitadAristas
2,0.004682,MitadAristas
2,0.004197,MitadAristas
2,0.002985,MitadAristas
3,0.006728,MitadAristas
3,0.006214,MitadAristas
3,0.006136,MitadAristas
3,0.006621,MitadAristas
3,0.004985,MitadAristas
3,0.005064,MitadAristas
3,0.005884,MitadAristas
3,0.006615,MitadAristas
3,0.005084,MitadAristas
3,0.0065,MitadAristas
3,0.005777,MitadAristas
3,0.005786,MitadAristas
3,0.005848,MitadAristas
3,0.00571,MitadAristas
3,0.004956,MitadAristas
3,0.004907,MitadAristas
3,0.006381,MitadAristas
3,0.005648,MitadAristas
3,0.005927,MitadAristas
3,0.005088,MitadAristas
3,0.005891,MitadAristas
3,0.005776,MitadAristas
3,0.005714,MitadAristas
3,0.005996,MitadAristas
3,0.00576,MitadAristas
3,0.006683,MitadAristas
3,0.005033,MitadAristas
3,0.006679,MitadAristas
3,0.005741,MitadAristas
3,0.005919,MitadAristas
3,0.006492,MitadAristas
3,0.006434,MitadAristas
3,0.006475,MitadAristas
3,0.006506,MitadAristas
3,0.006623,MitadAristas
3,0.005927,MitadAristas
3,0.005768,MitadAristas
3,0.005009,MitadAristas
3,0.00587,MitadAristas
3,0.006668,MitadAristas
4,0.012231,MitadAristas
4,0.013549,MitadAristas
4,0.012678,MitadAristas
4,0.012406,MitadAristas
4,0.011409,MitadAristas
4,0.012583,MitadAristas
4,0.012793,MitadAristas
4,0.011023,MitadAristas
4,0.012891,MitadAristas
4,0.01285,MitadAristas
4,0.011364,MitadAristas
4,0.010909,MitadAristas
4,0.012528,MitadAristas
4,0.011541,MitadAristas
4,0.011352,MitadAristas
4,0.01142,MitadAristas
4,0.011163,MitadAristas
4,0.011551,MitadAristas
4,0.011403,MitadAristas
4,0.01123,MitadAristas
4,0.012375,MitadAristas
4,0.012504,MitadAristas
4,0.01134,MitadAristas
4,0.01286,MitadAristas
4,0.010844,MitadAristas
4,0.011778,MitadAristas
4,0.012516,MitadAristas
4,0.012403,MitadAristas
4,0.012883,MitadAristas
