cantNod,Tiempo_ms,Tipo
2,0.017059,NigualM
2,0.019766,NigualM
2,0.009998,NigualM
2,0.016277,NigualM
2,0.014934,NigualM
2,0.014654,NigualM
2,0.016759,NigualM
2,0.010935,NigualM
2,0.017134,NigualM
2,0.016613,NigualM
2,0.017014,NigualM
2,0.012509,NigualM
2,0.01523,NigualM
2,0.016784,NigualM
2,0.016588,NigualM
2,0.014398,NigualM
2,0.009176,NigualM
2,0.012529,NigualM
2,0.012488,NigualM
2,0.015265,NigualM
2,0.014509,NigualM
2,0.01553,NigualM
2,0.016908,NigualM
2,0.014704,NigualM
2,0.016778,NigualM
2,0.014739,NigualM
2,0.014669,NigualM
2,0.014794,NigualM
2,0.015035,NigualM
2,0.014513,NigualM
2,0.017184,NigualM
2,0.014729,NigualM
2,0.017094,NigualM
2,0.014849,NigualM
2,0.014127,NigualM
2,0.01728,NigualM
2,0.0153,NigualM
2,0.012549,NigualM
2,0.014523,NigualM
2,0.011005,NigualM
3,0.023328,NigualM
3,0.024892,NigualM
3,0.022056,NigualM
3,0.025103,NigualM
3,0.038713,NigualM
3,0.038734,NigualM
3,0.016224,NigualM
3,0.021831,NigualM
3,0.014241,NigualM
3,0.020141,NigualM
3,0.019101,NigualM
3,0.020862,NigualM
3,0.018425,NigualM
3,0.018832,NigualM
3,0.015652,NigualM
3,0.02112,NigualM
3,0.018968,NigualM
3,0.015953,NigualM
3,0.019052,NigualM
3,0.016621,NigualM
3,0.01859,NigualM
3,0.018763,NigualM
3,0.019244,NigualM
3,0.021012,NigualM
3,0.021095,NigualM
3,0.020232,NigualM
3,0.019261,NigualM
3,0.021656,NigualM
3,0.019554,NigualM
3,0.018214,NigualM
3,0.022274,NigualM
3,0.019484,NigualM
3,0.020745,NigualM
3,0.020969,NigualM
3,0.019185,NigualM
3,0.018443,NigualM
3,0.022146,NigualM
3,0.021146,NigualM
3,0.013988,NigualM
3,0.017698,NigualM
4,0.029539,NigualM
4,0.027423,NigualM
4,0.029459,NigualM
4,0.028442,NigualM
4,0.026807,NigualM
4,0.026513,NigualM
4,0.027039,NigualM
4,0.030626,NigualM
4,0.026729,NigualM
4,0.027119,NigualM
4,0.026649,NigualM
4,0.03039,NigualM
4,0.03006,NigualM
4,0.026938,NigualM
4,0.023743,NigualM
4,0.026205,NigualM
4,0.026813,NigualM
4,0.027189,NigualM
4,0.02752,NigualM
4,0.026469,NigualM
4,0.026761,NigualM
4,0.030253,NigualM
4,0.030457,NigualM
4,0.027062,NigualM
4,0.027063,NigualM
4,0.027103,NigualM
4,0.028408,NigualM
4,0.030743,NigualM
4,0.030643,NigualM
4,0.029833,NigualM
4,0.030774,NigualM
4,0.029921,NigualM
4,0.027271,NigualM
4,0.030728,NigualM
4,0.030715,NigualM
4,0.026355,NigualM
4,0.030301,NigualM
4,0.027522,NigualM
4,0.029644,NigualM
4,0.028233,NigualM
5,0.042057,NigualM
5,0.041541,NigualM
5,0.035124,NigualM
5,0.035743,NigualM
5,0.035636,NigualM
5,0.04113,NigualM
5,0.040208,NigualM
5,0.036429,NigualM
5,0.035629,NigualM
5,0.040448,NigualM
5,0.03642,NigualM
5,0.040288,NigualM
5,0.036319,NigualM
5,0.036549,NigualM
5,0.036733,NigualM
5,0.03563,NigualM
5,0.040653,NigualM
5,0.040714,NigualM
5,0.036339,NigualM
5,0.035412,NigualM
5,0.040149,NigualM
5,0.037321,NigualM
5,0.039847,NigualM
5,0.042186,NigualM
5,0.03974,NigualM
5,0.035558,NigualM
5,0.040029,NigualM
5,0.041367,NigualM
5,0.035302,NigualM
5,0.040721,NigualM
5,0.035895,NigualM
5,0.035353,NigualM
5,0.036433,NigualM
5,0.041848,NigualM
5,0.036011,NigualM
5,0.036796,NigualM
5,0.035226,NigualM
5,0.039624,NigualM
5,0.036083,NigualM
5,0.035766,NigualM
6,0.054979,NigualM
6,0.054377,NigualM
6,0.054044,NigualM
6,0.050841,NigualM
6,0.046952,NigualM
6,0.054084,NigualM
6,0.046222,NigualM
6,0.054168,NigualM
6,0.052445,NigualM
6,0.048636,NigualM
6,0.05208,NigualM
6,0.05228,NigualM
6,0.05243,NigualM
6,0.051573,NigualM
6,0.046779,NigualM
6,0.054101,NigualM
6,0.047452,NigualM
6,0.046596,NigualM
6,0.055652,NigualM
6,0.052179,NigualM
6,0.052537,NigualM
6,0.045184,NigualM
6,0.046177,NigualM
6,0.045674,NigualM
6,0.046912,NigualM
6,0.053242,NigualM
6,0.053563,NigualM
6,0.04597,NigualM
6,0.051879,NigualM
6,0.052966,NigualM
6,0.048884,NigualM
6,0.048162,NigualM
6,0.048286,NigualM
6,0.05236,NigualM
6,0.053118,NigualM
6,0.051744,NigualM
6,0.052512,NigualM
6,0.052772,NigualM
6,0.046062,NigualM
6,0.046236,NigualM
7,0.066405,NigualM
7,0.066032,NigualM
7,0.057673,NigualM
7,0.059216,NigualM
7,0.058514,NigualM
7,0.057876,NigualM
7,0.067568,NigualM
7,0.05809,NigualM
7,0.067644,NigualM
7,0.06739,NigualM
7,0.058361,NigualM
7,0.067387,NigualM
7,0.068321,NigualM
7,0.067475,NigualM
7,0.059841,NigualM
7,0.058266,NigualM
7,0.09386,NigualM
7,0.052589,NigualM
7,0.052874,NigualM
7,0.053932,NigualM
7,0.053017,NigualM
7,0.053387,NigualM
7,0.053599,NigualM
7,0.060455,NigualM
7,0.058771,NigualM
7,0.053194,NigualM
7,0.059179,NigualM
7,0.058943,NigualM
7,0.052933,NigualM
7,0.052412,NigualM
7,0.059625,NigualM
7,0.052389,NigualM
7,0.053094,NigualM
7,0.045008,NigualM
7,0.053294,NigualM
7,0.052188,NigualM
7,0.053186,NigualM
7,0.059545,NigualM
7,0.053519,NigualM
7,0.063441,NigualM
8,0.075855,NigualM
8,0.075846,NigualM
8,0.07314,NigualM
8,0.073213,NigualM
8,0.073485,NigualM
8,0.073417,NigualM
8,0.064725,NigualM
8,0.076202,NigualM
8,0.072795,NigualM
8,0.07346,NigualM
8,0.073678,NigualM
8,0.064075,NigualM
8,0.073384,NigualM
8,0.073625,NigualM
8,0.075309,NigualM
8,0.074271,NigualM
8,0.065723,NigualM
8,0.06586,NigualM
8,0.065647,NigualM
8,0.064348,NigualM
8,0.072117,NigualM
8,0.066296,NigualM
8,0.064849,NigualM
8,0.067142,NigualM
8,0.066397,NigualM
8,0.075044,NigualM
8,0.064957,NigualM
8,0.071059,NigualM
8,0.074439,NigualM
8,0.064588,NigualM
8,0.066264,NigualM
8,0.074307,NigualM
8,0.074675,NigualM
8,0.072515,NigualM
8,0.077085,NigualM
8,0.072871,NigualM
8,0.063903,NigualM
8,0.067302,NigualM
8,0.072218,NigualM
8,0.065815,NigualM
9,0.079415,NigualM
9,0.090953,NigualM
9,0.079467,NigualM
9,0.078969,NigualM
9,0.09052,NigualM
9,0.089274,NigualM
9,0.078416,NigualM
9,0.087609,NigualM
9,0.079646,NigualM
9,0.090644,NigualM
9,0.078556,NigualM
9,0.078437,NigualM
9,0.078095,NigualM
9,0.078841,NigualM
9,0.090552,NigualM
9,0.089946,NigualM
9,0.088102,NigualM
9,0.090737,NigualM
9,0.081483,NigualM
9,0.077987,NigualM
9,0.079475,NigualM
9,0.08888,NigualM
9,0.087108,NigualM
9,0.088423,NigualM
9,0.079342,NigualM
9,0.089775,NigualM
9,0.089217,NigualM
9,0.07921,NigualM
9,0.080224,NigualM
9,0.089257,NigualM
9,0.087216,NigualM
9,0.090119,NigualM
9,0.088784,NigualM
9,0.07941,NigualM
9,0.089029,NigualM
9,0.097989,NigualM
9,0.088836,NigualM
9,0.077409,NigualM
9,0.088391,NigualM
9,0.091186,NigualM
10,0.108742,NigualM
10,0.095644,NigualM
10,0.109696,NigualM
10,0.10962,NigualM
10,0.096056,NigualM
10,0.109347,NigualM
10,0.09604,NigualM
10,0.105915,NigualM
10,0.096786,NigualM
10,0.095075,NigualM
10,0.093134,NigualM
10,0.106255,NigualM
10,0.105425,NigualM
10,0.106136,NigualM
10,0.095712,NigualM
10,0.106191,NigualM
10,0.093639,NigualM
10,0.109584,NigualM
10,0.093511,NigualM
10,0.09631,NigualM
10,0.094497,NigualM
10,0.092785,NigualM
10,0.104479,NigualM
10,0.094148,NigualM
10,0.091314,NigualM
10,0.107277,NigualM
10,0.107206,NigualM
10,0.094677,NigualM
10,0.093455,NigualM
10,0.104675,NigualM
10,0.091643,NigualM
10,0.107796,NigualM
10,0.114537,NigualM
10,0.08427,NigualM
10,0.085429,NigualM
10,0.085884,NigualM
10,0.088869,NigualM
10,0.086325,NigualM
10,0.09457,NigualM
