cantNod,Tiempo,Tipo
401,43.2599,NigualM
401,38.0464,NigualM
401,37.66,NigualM
401,37.5523,NigualM
401,37.4254,NigualM
401,37.4629,NigualM
401,37.5208,NigualM
401,37.3993,NigualM
401,37.4603,NigualM
401,32.7476,NigualM
401,37.4548,NigualM
401,32.7741,NigualM
401,37.4068,NigualM
401,32.7848,NigualM
401,37.4664,NigualM
401,37.6422,NigualM
401,37.7397,NigualM
401,37.5564,NigualM
401,37.3971,NigualM
401,37.7016,NigualM
401,37.485,NigualM
401,37.397,NigualM
401,37.4378,NigualM
401,32.8056,NigualM
401,32.9386,NigualM
401,37.4805,NigualM
401,37.4006,NigualM
401,37.445,NigualM
401,37.4507,NigualM
401,37.8628,NigualM
401,37.3859,NigualM
401,37.3595,NigualM
401,32.896,NigualM
401,37.5034,NigualM
401,37.6081,NigualM
401,32.7165,NigualM
401,37.4082,NigualM
401,32.7759,NigualM
401,33.1671,NigualM
401,37.4628,NigualM
402,32.9034,NigualM
402,37.7614,NigualM
402,37.5964,NigualM
402,37.5543,NigualM
402,37.686,NigualM
402,37.6436,NigualM
402,37.5605,NigualM
402,33.0961,NigualM
402,32.9902,NigualM
402,37.9625,NigualM
402,32.9368,NigualM
402,37.6128,NigualM
402,37.5794,NigualM
402,37.6755,NigualM
402,32.9926,NigualM
402,32.9264,NigualM
402,37.7658,NigualM
402,37.6201,NigualM
402,37.5946,NigualM
402,37.5981,NigualM
402,37.6254,NigualM
402,37.6188,NigualM
402,37.9588,NigualM
402,37.5839,NigualM
402,37.6322,NigualM
402,38.0072,NigualM
402,37.6202,NigualM
402,37.5571,NigualM
402,37.5701,NigualM
402,37.8304,NigualM
402,37.5781,NigualM
402,37.6055,NigualM
402,32.8811,NigualM
402,37.5788,NigualM
402,37.6685,NigualM
402,32.9309,NigualM
402,32.8759,NigualM
402,37.5674,NigualM
402,37.6585,NigualM
402,37.5638,NigualM
403,37.8742,NigualM
403,38.0084,NigualM
403,38.0551,NigualM
403,37.7927,NigualM
403,33.1416,NigualM
403,37.8093,NigualM
403,37.7634,NigualM
403,37.7915,NigualM
403,37.8998,NigualM
403,37.7664,NigualM
403,33.086,NigualM
403,37.8755,NigualM
403,37.8312,NigualM
403,37.8624,NigualM
403,37.8672,NigualM
403,37.804,NigualM
403,37.8867,NigualM
403,37.8304,NigualM
403,38.0998,NigualM
403,37.839,NigualM
403,37.7999,NigualM
403,33.1389,NigualM
403,37.8062,NigualM
403,33.1108,NigualM
403,38.0503,NigualM
403,37.8831,NigualM
403,37.8566,NigualM
403,37.8763,NigualM
403,33.1039,NigualM
403,37.8407,NigualM
403,37.9587,NigualM
403,37.7901,NigualM
403,37.7935,NigualM
403,33.1574,NigualM
403,38.1978,NigualM
403,33.3324,NigualM
403,37.9606,NigualM
403,37.7865,NigualM
403,37.7504,NigualM
403,33.1726,NigualM
404,37.9176,NigualM
404,38.0437,NigualM
404,38.073,NigualM
404,38.0125,NigualM
404,33.2913,NigualM
404,38.09,NigualM
404,38.0748,NigualM
404,38.0453,NigualM
404,38.0049,NigualM
404,33.305,NigualM
404,38.3421,NigualM
404,33.3329,NigualM
404,33.2815,NigualM
404,38.0544,NigualM
404,38.3651,NigualM
404,38.1768,NigualM
404,33.267,NigualM
404,38.0572,NigualM
404,37.9857,NigualM
404,33.2681,NigualM
404,37.9402,NigualM
404,38.0508,NigualM
404,38.055,NigualM
404,33.3931,NigualM
404,38.1122,NigualM
404,33.2985,NigualM
404,38.0056,NigualM
404,33.6025,NigualM
404,37.9785,NigualM
404,37.9809,NigualM
404,37.95,NigualM
404,37.996,NigualM
404,33.2777,NigualM
404,38.1487,NigualM
404,33.4342,NigualM
404,37.9118,NigualM
404,37.9618,NigualM
404,38.0616,NigualM
404,38.0053,NigualM
404,38.3582,NigualM
405,33.3975,NigualM
405,34.0414,NigualM
405,38.1663,NigualM
405,38.5857,NigualM
405,38.5547,NigualM
405,38.2344,NigualM
405,33.3875,NigualM
405,38.1803,NigualM
405,38.1713,NigualM
405,38.1725,NigualM
405,38.4919,NigualM
405,38.1448,NigualM
405,38.3763,NigualM
405,38.3286,NigualM
405,38.2135,NigualM
405,33.4105,NigualM
405,38.2523,NigualM
405,38.1908,NigualM
405,38.1731,NigualM
405,38.3659,NigualM
405,38.6519,NigualM
405,38.3697,NigualM
405,33.5595,NigualM
405,38.1867,NigualM
405,33.5472,NigualM
405,33.6984,NigualM
405,33.5466,NigualM
405,38.1695,NigualM
405,38.6501,NigualM
405,38.1033,NigualM
405,38.1632,NigualM
405,38.1375,NigualM
405,38.4957,NigualM
405,38.2519,NigualM
405,38.2097,NigualM
405,38.4236,NigualM
405,38.2055,NigualM
405,33.4075,NigualM
405,33.4436,NigualM
405,38.1682,NigualM
406,38.3353,NigualM
406,33.6615,NigualM
406,33.6037,NigualM
406,34.0371,NigualM
406,38.419,NigualM
406,38.5134,NigualM
406,33.7727,NigualM
406,33.6625,NigualM
406,33.5707,NigualM
406,33.6589,NigualM
406,38.3902,NigualM
406,33.644,NigualM
406,38.8139,NigualM
406,38.5189,NigualM
406,33.816,NigualM
406,38.3045,NigualM
406,38.3683,NigualM
406,33.6102,NigualM
406,38.3762,NigualM
406,33.7601,NigualM
406,33.5465,NigualM
406,38.3519,NigualM
406,38.3699,NigualM
406,38.4068,NigualM
406,38.4976,NigualM
406,38.3474,NigualM
406,33.5613,NigualM
406,33.9572,NigualM
406,38.5244,NigualM
406,38.4196,NigualM
406,33.6693,NigualM
406,38.3783,NigualM
406,33.5768,NigualM
406,38.4508,NigualM
406,38.3199,NigualM
406,33.6793,NigualM
406,38.3813,NigualM
406,38.4497,NigualM
406,38.4398,NigualM
406,38.4595,NigualM
407,33.8422,NigualM
407,38.5946,NigualM
407,38.7247,NigualM
407,38.6558,NigualM
407,38.6094,NigualM
407,34.1265,NigualM
407,38.5397,NigualM
407,38.4982,NigualM
407,38.5941,NigualM
407,38.8137,NigualM
407,33.8943,NigualM
407,38.5589,NigualM
407,38.6824,NigualM
407,38.646,NigualM
407,38.5192,NigualM
