cantNod,Tiempo_ms,Tipo
2,0.000351,FuncionComplej
2,0.000127,FuncionComplej
2,9.5e-05,FuncionComplej
2,9e-05,FuncionComplej
2,9.1e-05,FuncionComplej
2,8.7e-05,FuncionComplej
2,9.1e-05,FuncionComplej
2,9.5e-05,FuncionComplej
2,9e-05,FuncionComplej
2,8.9e-05,FuncionComplej
2,8.7e-05,FuncionComplej
2,8.7e-05,FuncionComplej
2,9e-05,FuncionComplej
2,9e-05,FuncionComplej
2,9.9e-05,FuncionComplej
2,9.2e-05,FuncionComplej
2,8.7e-05,FuncionComplej
2,8.7e-05,FuncionComplej
2,9.3e-05,FuncionComplej
2,8.7e-05,FuncionComplej
2,9.9e-05,FuncionComplej
2,9e-05,FuncionComplej
2,9e-05,FuncionComplej
2,8.9e-05,FuncionComplej
2,9e-05,FuncionComplej
2,9e-05,FuncionComplej
2,9.8e-05,FuncionComplej
2,9e-05,FuncionComplej
2,9.1e-05,FuncionComplej
2,8.7e-05,FuncionComplej
2,9e-05,FuncionComplej
2,9.2e-05,FuncionComplej
2,9.5e-05,FuncionComplej
2,9e-05,FuncionComplej
2,9.7e-05,FuncionComplej
2,8.7e-05,FuncionComplej
2,8.7e-05,FuncionComplej
2,8.7e-05,FuncionComplej
2,9e-05,FuncionComplej
2,9.1e-05,FuncionComplej
3,0.000331,FuncionComplej
3,0.000267,FuncionComplej
3,0.000256,FuncionComplej
3,0.000257,FuncionComplej
3,0.00025,FuncionComplej
3,0.000261,FuncionComplej
3,0.000251,FuncionComplej
3,0.00026,FuncionComplej
3,0.000259,FuncionComplej
3,0.000251,FuncionComplej
3,0.000265,FuncionComplej
3,0.000248,FuncionComplej
3,0.000262,FuncionComplej
3,0.000268,FuncionComplej
3,0.000252,FuncionComplej
3,0.00025,FuncionComplej
3,0.00025,FuncionComplej
3,0.000257,FuncionComplej
3,0.00025,FuncionComplej
3,0.000239,FuncionComplej
3,0.000245,FuncionComplej
3,0.000251,FuncionComplej
3,0.000241,FuncionComplej
3,0.00024,FuncionComplej
3,0.000244,FuncionComplej
3,0.000254,FuncionComplej
3,0.000242,FuncionComplej
3,0.000248,FuncionComplej
3,0.000249,FuncionComplej
3,0.000258,FuncionComplej
3,0.000249,FuncionComplej
3,0.000249,FuncionComplej
3,0.000259,FuncionComplej
3,0.000249,FuncionComplej
3,0.00025,FuncionComplej
3,0.000244,FuncionComplej
3,0.000245,FuncionComplej
3,0.000248,FuncionComplej
3,0.000248,FuncionComplej
3,0.000246,FuncionComplej
