cantNod,Tiempo,Tipo
2,0.000372,FuncionComplej
2,8.6e-05,FuncionComplej
2,3.3e-05,FuncionComplej
2,3.3e-05,FuncionComplej
2,3.3e-05,FuncionComplej
2,3.2e-05,FuncionComplej
2,3.3e-05,FuncionComplej
2,3.3e-05,FuncionComplej
2,3.5e-05,FuncionComplej
2,3.2e-05,FuncionComplej
2,3.3e-05,FuncionComplej
2,6.4e-05,FuncionComplej
2,3.3e-05,FuncionComplej
2,3.4e-05,FuncionComplej
2,3.4e-05,FuncionComplej
2,3.4e-05,FuncionComplej
2,3.3e-05,FuncionComplej
2,3.3e-05,FuncionComplej
2,3.5e-05,FuncionComplej
2,6.3e-05,FuncionComplej
2,3.3e-05,FuncionComplej
2,3.4e-05,FuncionComplej
2,5.5e-05,FuncionComplej
2,3.5e-05,FuncionComplej
2,3.1e-05,FuncionComplej
2,3.4e-05,FuncionComplej
2,3.3e-05,FuncionComplej
2,3.5e-05,FuncionComplej
2,3.4e-05,FuncionComplej
2,3.3e-05,FuncionComplej
2,3.4e-05,FuncionComplej
2,3.4e-05,FuncionComplej
2,3.3e-05,FuncionComplej
2,3.4e-05,FuncionComplej
2,3.5e-05,FuncionComplej
2,3.3e-05,FuncionComplej
2,3.3e-05,FuncionComplej
2,3.4e-05,FuncionComplej
2,3.3e-05,FuncionComplej
2,3.3e-05,FuncionComplej
3,0.000204,FuncionComplej
3,9.3e-05,FuncionComplej
3,4.8e-05,FuncionComplej
3,4.7e-05,FuncionComplej
3,4.8e-05,FuncionComplej
3,4.9e-05,FuncionComplej
3,4.8e-05,FuncionComplej
3,4.5e-05,FuncionComplej
3,4.9e-05,FuncionComplej
3,4.8e-05,FuncionComplej
3,4.7e-05,FuncionComplej
3,4.9e-05,FuncionComplej
3,4.9e-05,FuncionComplej
3,4.6e-05,FuncionComplej
3,4.8e-05,FuncionComplej
3,4.9e-05,FuncionComplej
3,4.8e-05,FuncionComplej
3,4.9e-05,FuncionComplej
3,4.7e-05,FuncionComplej
3,4.7e-05,FuncionComplej
3,4.8e-05,FuncionComplej
3,4.9e-05,FuncionComplej
3,4.5e-05,FuncionComplej
3,4.9e-05,FuncionComplej
3,4.7e-05,FuncionComplej
3,4.8e-05,FuncionComplej
3,4.6e-05,FuncionComplej
3,4.9e-05,FuncionComplej
3,4.6e-05,FuncionComplej
3,4.9e-05,FuncionComplej
3,4.8e-05,FuncionComplej
3,4.8e-05,FuncionComplej
3,4.9e-05,FuncionComplej
3,4.8e-05,FuncionComplej
3,4.9e-05,FuncionComplej
3,4.9e-05,FuncionComplej
3,4.6e-05,FuncionComplej
3,4.7e-05,FuncionComplej
3,4.8e-05,FuncionComplej
3,4.4e-05,FuncionComplej
4,0.000132,FuncionComplej
4,9.5e-05,FuncionComplej
4,6.8e-05,FuncionComplej
4,6.5e-05,FuncionComplej
4,6.6e-05,FuncionComplej
4,6.5e-05,FuncionComplej
4,6.2e-05,FuncionComplej
4,6.7e-05,FuncionComplej
4,6.9e-05,FuncionComplej
4,7.2e-05,FuncionComplej
4,7.1e-05,FuncionComplej
4,6.9e-05,FuncionComplej
4,6.6e-05,FuncionComplej
4,6.4e-05,FuncionComplej
4,6.3e-05,FuncionComplej
4,8.6e-05,FuncionComplej
4,6.4e-05,FuncionComplej
4,6.7e-05,FuncionComplej
4,6.5e-05,FuncionComplej
4,6.5e-05,FuncionComplej
