cantNod,Tiempo,Tipo
2,0.091758,FuncionComplej
2,0.026932,FuncionComplej
2,0.029967,FuncionComplej
2,0.0226,FuncionComplej
2,0.023485,FuncionComplej
2,0.021832,FuncionComplej
2,0.02505,FuncionComplej
2,0.02255,FuncionComplej
2,0.02135,FuncionComplej
2,0.02361,FuncionComplej
2,0.024516,FuncionComplej
2,0.024931,FuncionComplej
2,0.027646,FuncionComplej
2,0.021335,FuncionComplej
2,0.026355,FuncionComplej
2,0.028028,FuncionComplej
2,0.035907,FuncionComplej
2,0.027744,FuncionComplej
2,0.023997,FuncionComplej
2,0.02266,FuncionComplej
2,0.022345,FuncionComplej
2,0.022377,FuncionComplej
2,0.022697,FuncionComplej
2,0.022258,FuncionComplej
2,0.022329,FuncionComplej
2,0.022177,FuncionComplej
2,0.022949,FuncionComplej
2,0.022175,FuncionComplej
2,0.022109,FuncionComplej
2,0.02239,FuncionComplej
2,0.021508,FuncionComplej
2,0.019541,FuncionComplej
2,0.022844,FuncionComplej
2,0.022555,FuncionComplej
2,0.022265,FuncionComplej
2,0.02224,FuncionComplej
2,0.022042,FuncionComplej
2,0.022779,FuncionComplej
2,0.0227,FuncionComplej
2,0.022576,FuncionComplej
3,0.050056,FuncionComplej
3,0.0547,FuncionComplej
3,0.058757,FuncionComplej
3,0.055149,FuncionComplej
3,0.054107,FuncionComplej
3,0.052083,FuncionComplej
3,0.051563,FuncionComplej
3,0.055356,FuncionComplej
3,0.059592,FuncionComplej
3,0.017291,FuncionComplej
3,0.01629,FuncionComplej
3,0.019384,FuncionComplej
3,0.017511,FuncionComplej
3,0.018684,FuncionComplej
3,0.016839,FuncionComplej
3,0.018627,FuncionComplej
3,0.015638,FuncionComplej
3,0.016434,FuncionComplej
3,0.01575,FuncionComplej
3,0.016959,FuncionComplej
3,0.016012,FuncionComplej
3,0.018199,FuncionComplej
3,0.014793,FuncionComplej
3,0.016871,FuncionComplej
3,0.018276,FuncionComplej
3,0.018136,FuncionComplej
3,0.017963,FuncionComplej
3,0.016925,FuncionComplej
3,0.015172,FuncionComplej
3,0.018095,FuncionComplej
3,0.016836,FuncionComplej
3,0.014571,FuncionComplej
3,0.018547,FuncionComplej
3,0.017918,FuncionComplej
3,0.017205,FuncionComplej
3,0.019164,FuncionComplej
3,0.016101,FuncionComplej
3,0.016862,FuncionComplej
3,0.017815,FuncionComplej
3,0.016021,FuncionComplej
4,0.032717,FuncionComplej
4,0.030059,FuncionComplej
4,0.031759,FuncionComplej
4,0.031137,FuncionComplej
4,0.034193,FuncionComplej
4,0.034275,FuncionComplej
4,0.033024,FuncionComplej
4,0.030505,FuncionComplej
4,0.036179,FuncionComplej
4,0.035033,FuncionComplej
4,0.032093,FuncionComplej
4,0.034269,FuncionComplej
4,0.035159,FuncionComplej
4,0.031625,FuncionComplej
4,0.032441,FuncionComplej
4,0.036703,FuncionComplej
4,0.033999,FuncionComplej
4,0.030728,FuncionComplej
4,0.030749,FuncionComplej
4,0.033161,FuncionComplej
4,0.033628,FuncionComplej
4,0.031788,FuncionComplej
4,0.032661,FuncionComplej
4,0.032939,FuncionComplej
4,0.034374,FuncionComplej
4,0.031667,FuncionComplej
4,0.034706,FuncionComplej
4,0.033405,FuncionComplej
4,0.040638,FuncionComplej
4,0.032152,FuncionComplej
4,0.033907,FuncionComplej
4,0.033395,FuncionComplej
4,0.03221,FuncionComplej
4,0.036292,FuncionComplej
4,0.032307,FuncionComplej
4,0.033118,FuncionComplej
4,0.032206,FuncionComplej
4,0.032616,FuncionComplej
4,0.032251,FuncionComplej
4,0.043601,FuncionComplej
5,0.052338,FuncionComplej
5,0.056844,FuncionComplej
5,0.05927,FuncionComplej
5,0.053022,FuncionComplej
5,0.05162,FuncionComplej
5,0.056056,FuncionComplej
5,0.049651,FuncionComplej
5,0.056446,FuncionComplej
5,0.060765,FuncionComplej
5,0.052896,FuncionComplej
5,0.058193,FuncionComplej
5,0.051097,FuncionComplej
5,0.049423,FuncionComplej
5,0.051484,FuncionComplej
5,0.047879,FuncionComplej
5,0.050642,FuncionComplej
5,0.067309,FuncionComplej
5,0.053051,FuncionComplej
5,0.051675,FuncionComplej
5,0.05372,FuncionComplej
5,0.051398,FuncionComplej
5,0.05431,FuncionComplej
5,0.052143,FuncionComplej
5,0.052495,FuncionComplej
5,0.05406,FuncionComplej
5,0.053701,FuncionComplej
5,0.05145,FuncionComplej
5,0.053736,FuncionComplej
5,0.053648,FuncionComplej
5,0.055249,FuncionComplej
5,0.052558,FuncionComplej
5,0.053772,FuncionComplej
5,0.054085,FuncionComplej
5,0.05599,FuncionComplej
5,0.051241,FuncionComplej
5,0.045107,FuncionComplej
5,0.042777,FuncionComplej
5,0.042275,FuncionComplej
5,0.044916,FuncionComplej
5,0.044403,FuncionComplej
6,0.072813,FuncionComplej
6,0.072962,FuncionComplej
6,0.073187,FuncionComplej
6,0.073893,FuncionComplej
6,0.072523,FuncionComplej
6,0.073459,FuncionComplej
6,0.072166,FuncionComplej
6,0.073066,FuncionComplej
6,0.073145,FuncionComplej
6,0.081935,FuncionComplej
6,0.064456,FuncionComplej
6,0.068021,FuncionComplej
6,0.071877,FuncionComplej
6,0.070548,FuncionComplej
6,0.07142,FuncionComplej
6,0.070437,FuncionComplej
6,0.070887,FuncionComplej
6,0.066701,FuncionComplej
6,0.067079,FuncionComplej
6,0.069272,FuncionComplej
6,0.06916,FuncionComplej
6,0.069087,FuncionComplej
6,0.064373,FuncionComplej
6,0.061199,FuncionComplej
6,0.077449,FuncionComplej
6,0.071987,FuncionComplej
6,0.084257,FuncionComplej
6,0.217307,FuncionComplej
6,0.080054,FuncionComplej
6,0.088053,FuncionComplej
6,0.094426,FuncionComplej
6,0.082582,FuncionComplej
6,0.083266,FuncionComplej
6,0.074339,FuncionComplej
6,0.077539,FuncionComplej
6,0.076872,FuncionComplej
6,0.080069,FuncionComplej
6,0.066465,FuncionComplej
6,0.075603,FuncionComplej
6,0.076771,FuncionComplej
7,0.110505,FuncionComplej
7,0.096378,FuncionComplej
7,0.115796,FuncionComplej
7,0.10696,FuncionComplej
7,0.116346,FuncionComplej
7,0.121088,FuncionComplej
7,0.118215,FuncionComplej
7,0.118286,FuncionComplej
7,0.137519,FuncionComplej
7,0.157468,FuncionComplej
7,0.153027,FuncionComplej
7,0.198459,FuncionComplej
7,0.171845,FuncionComplej
7,0.094008,FuncionComplej
7,0.104247,FuncionComplej
7,0.114205,FuncionComplej
7,0.100583,FuncionComplej
7,0.099079,FuncionComplej
7,0.096326,FuncionComplej
7,0.099846,FuncionComplej
7,0.093932,FuncionComplej
7,0.098701,FuncionComplej
7,0.098093,FuncionComplej
7,0.099252,FuncionComplej
7,0.099675,FuncionComplej
7,0.098697,FuncionComplej
7,0.097496,FuncionComplej
7,0.099686,FuncionComplej
7,0.094665,FuncionComplej
7,0.098795,FuncionComplej
7,0.100305,FuncionComplej
7,0.096844,FuncionComplej
7,0.098755,FuncionComplej
7,0.099026,FuncionComplej
7,0.099723,FuncionComplej
7,0.097919,FuncionComplej
7,0.095919,FuncionComplej
7,0.099177,FuncionComplej
7,0.09775,FuncionComplej
7,0.096949,FuncionComplej
8,0.130371,FuncionComplej
8,0.127654,FuncionComplej
8,0.125673,FuncionComplej
8,0.127219,FuncionComplej
8,0.128341,FuncionComplej
8,0.130006,FuncionComplej
8,0.125452,FuncionComplej
8,0.12845,FuncionComplej
