cantNod,Tiempo,Tipo
2,0.0002106,Original
3,0.0005881,Original
4,0.00139928,Original
5,0.00267485,Original
6,0.00442409,Original
7,0.00679836,Original
8,0.0100378,Original
9,0.0135149,Original
10,0.0160524,Original
11,0.0199283,Original
12,0.0235032,Original
13,0.0280653,Original
14,0.035633,Original
15,0.0419841,Original
16,0.0464184,Original
17,0.0522723,Original
18,0.0598399,Original
19,0.0736856,Original
20,0.0825834,Original
21,0.0908067,Original
22,0.10587,Original
23,0.111221,Original
24,0.124691,Original
25,0.135712,Original
26,0.15165,Original
27,0.161045,Original
28,0.180879,Original
29,0.195329,Original
30,0.207421,Original
31,0.230574,Original
32,0.248735,Original
33,0.265918,Original
34,0.288113,Original
35,0.305262,Original
36,0.325417,Original
37,0.35047,Original
38,0.368413,Original
39,0.393387,Original
40,0.428227,Original
41,0.444046,Original
42,0.472602,Original
43,0.494698,Original
44,0.527133,Original
45,0.553804,Original
46,0.58359,Original
47,0.612442,Original
48,0.641755,Original
49,0.680055,Original
50,0.706235,Original
51,0.741486,Original
52,0.773111,Original
53,0.807469,Original
54,0.843567,Original
55,0.881139,Original
56,0.918141,Original
57,0.957641,Original
58,0.99867,Original
59,1.03658,Original
60,1.07885,Original
61,1.12466,Original
62,1.16285,Original
63,1.20393,Original
64,1.24981,Original
65,1.29871,Original
66,1.34328,Original
67,1.38998,Original
68,1.44029,Original
69,1.49112,Original
70,1.54278,Original
71,1.58752,Original
72,1.64605,Original
73,1.69428,Original
74,1.74807,Original
75,1.8089,Original
76,1.85551,Original
77,1.92253,Original
78,1.97404,Original
79,2.02361,Original
80,2.08669,Original
81,2.14211,Original
82,2.206,Original
83,2.28625,Original
84,2.32701,Original
85,2.39432,Original
86,2.45469,Original
87,2.52492,Original
88,2.58338,Original
89,2.66266,Original
90,2.72022,Original
91,2.80288,Original
92,2.8873,Original
93,2.93341,Original
94,2.99821,Original
95,3.08025,Original
96,3.14821,Original
97,3.21958,Original
98,3.29758,Original
99,3.4682,Original
100,3.61296,Original
101,3.69292,Original
102,3.75539,Original
103,3.85737,Original
104,3.78325,Original
105,3.9392,Original
106,3.92856,Original
107,4.01367,Original
108,4.08604,Original
109,4.18215,Original
110,4.27458,Original
111,4.35549,Original
112,4.44205,Original
113,4.52504,Original
114,4.62134,Original
115,4.72992,Original
116,4.80307,Original
117,4.8878,Original
118,4.98659,Original
119,5.08319,Original
120,5.1751,Original
121,5.27355,Original
122,5.36658,Original
123,5.4687,Original
124,5.57469,Original
125,5.67552,Original
126,5.7661,Original
127,5.97317,Original
128,5.98014,Original
129,6.08138,Original
130,6.18577,Original
131,6.28931,Original
132,6.41003,Original
133,6.52153,Original
134,6.61141,Original
135,6.72749,Original
136,6.84644,Original
137,6.95004,Original
138,7.06267,Original
139,7.19427,Original
140,7.29609,Original
141,7.4521,Original
142,7.52679,Original
143,7.64791,Original
144,7.77145,Original
145,7.93645,Original
146,7.99954,Original
147,8.16098,Original
148,8.24915,Original
149,8.42381,Original
150,8.4894,Original
151,8.63585,Original
152,8.74713,Original
153,8.87939,Original
154,9.00797,Original
155,9.15923,Original
156,9.27017,Original
157,9.40831,Original
158,9.5391,Original
159,9.76403,Original
160,9.79338,Original
161,9.93982,Original
162,10.0675,Original
163,10.2086,Original
164,10.4448,Original
165,10.5034,Original
166,10.6601,Original
167,10.7674,Original
168,10.9101,Original
169,11.0627,Original
170,11.1949,Original
171,11.3476,Original
172,11.5124,Original
173,11.6454,Original
174,11.8006,Original
175,11.9441,Original
176,12.103,Original
