cantNod,Tiempo,Tipo
2,0.00015061,Optimizada
3,0.00044325,Optimizada
4,0.00106425,Optimizada
5,0.00210219,Optimizada
6,0.00344131,Optimizada
7,0.00574011,Optimizada
8,0.00787382,Optimizada
9,0.0106951,Optimizada
10,0.0143918,Optimizada
11,0.0181355,Optimizada
12,0.0233457,Optimizada
13,0.0303504,Optimizada
14,0.0329911,Optimizada
15,0.0385525,Optimizada
16,0.051263,Optimizada
17,0.0537607,Optimizada
18,0.0596991,Optimizada
19,0.0686627,Optimizada
20,0.0827596,Optimizada
21,0.0874419,Optimizada
22,0.0975997,Optimizada
23,0.116696,Optimizada
24,0.123472,Optimizada
25,0.141663,Optimizada
26,0.145593,Optimizada
27,0.167645,Optimizada
28,0.184818,Optimizada
29,0.190565,Optimizada
30,0.211296,Optimizada
31,0.227156,Optimizada
32,0.247505,Optimizada
33,0.26316,Optimizada
34,0.289107,Optimizada
35,0.310381,Optimizada
36,0.325163,Optimizada
37,0.351278,Optimizada
38,0.366729,Optimizada
39,0.391848,Optimizada
40,0.417335,Optimizada
41,0.438231,Optimizada
42,0.469287,Optimizada
43,0.491355,Optimizada
44,0.523513,Optimizada
45,0.552078,Optimizada
46,0.586577,Optimizada
47,0.610441,Optimizada
48,0.640228,Optimizada
49,0.66903,Optimizada
50,0.702743,Optimizada
51,0.741381,Optimizada
52,0.770208,Optimizada
53,0.803589,Optimizada
54,0.84059,Optimizada
55,0.877625,Optimizada
56,0.917803,Optimizada
57,0.954537,Optimizada
58,0.992067,Optimizada
59,1.03472,Optimizada
60,1.07149,Optimizada
61,1.10902,Optimizada
62,1.16057,Optimizada
63,1.19851,Optimizada
64,1.24474,Optimizada
65,1.28889,Optimizada
66,1.3346,Optimizada
67,1.38442,Optimizada
68,1.43655,Optimizada
69,1.478,Optimizada
70,1.53491,Optimizada
71,1.58629,Optimizada
72,1.63224,Optimizada
73,1.68232,Optimizada
74,1.74192,Optimizada
75,1.79289,Optimizada
76,1.84876,Optimizada
77,1.89911,Optimizada
78,1.95648,Optimizada
79,2.0133,Optimizada
80,2.08375,Optimizada
81,2.14332,Optimizada
82,2.19079,Optimizada
83,2.25316,Optimizada
84,2.31216,Optimizada
85,2.38006,Optimizada
86,2.45022,Optimizada
87,2.50435,Optimizada
88,2.57944,Optimizada
89,2.64526,Optimizada
90,2.7114,Optimizada
91,2.77113,Optimizada
92,2.84548,Optimizada
93,2.91725,Optimizada
94,3.00314,Optimizada
95,3.05418,Optimizada
96,3.1304,Optimizada
97,3.20737,Optimizada
98,3.27068,Optimizada
99,3.35404,Optimizada
100,3.43002,Optimizada
101,3.50684,Optimizada
102,3.58183,Optimizada
103,3.66709,Optimizada
104,3.74762,Optimizada
105,3.82656,Optimizada
106,3.90848,Optimizada
107,3.99056,Optimizada
108,4.07289,Optimizada
109,4.16225,Optimizada
110,4.23902,Optimizada
111,4.3378,Optimizada
112,4.40689,Optimizada
113,4.51445,Optimizada
114,4.59978,Optimizada
115,4.69011,Optimizada
116,4.77737,Optimizada
117,4.87456,Optimizada
118,4.95883,Optimizada
119,5.06096,Optimizada
120,5.16776,Optimizada
121,5.25153,Optimizada
122,5.36143,Optimizada
123,5.43966,Optimizada
124,5.55285,Optimizada
125,5.65048,Optimizada
126,5.74287,Optimizada
127,5.85761,Optimizada
128,5.94903,Optimizada
129,6.04676,Optimizada
130,6.15876,Optimizada
131,6.27754,Optimizada
132,6.35864,Optimizada
133,6.48286,Optimizada
134,6.59875,Optimizada
135,6.72487,Optimizada
136,6.81662,Optimizada
137,6.93119,Optimizada
138,7.02866,Optimizada
139,7.15489,Optimizada
140,7.2638,Optimizada
141,7.373,Optimizada
142,7.63082,Optimizada
143,7.63657,Optimizada
144,7.73086,Optimizada
145,7.84852,Optimizada
146,7.97632,Optimizada
147,8.15364,Optimizada
148,8.40143,Optimizada
149,8.32882,Optimizada
150,8.46249,Optimizada
151,8.58937,Optimizada
152,8.71525,Optimizada
153,8.84315,Optimizada
154,8.96425,Optimizada
155,9.09773,Optimizada
156,9.2284,Optimizada
157,9.3646,Optimizada
158,9.51462,Optimizada
159,9.62191,Optimizada
160,9.76893,Optimizada
161,9.88794,Optimizada
162,10.0235,Optimizada
163,10.1564,Optimizada
164,10.3003,Optimizada
165,10.4642,Optimizada
166,10.5975,Optimizada
167,10.7826,Optimizada
168,10.9059,Optimizada
169,11.0076,Optimizada
170,11.1565,Optimizada
171,11.3016,Optimizada
172,11.4506,Optimizada
173,11.5923,Optimizada
174,11.7434,Optimizada
175,11.8874,Optimizada
176,12.0474,Optimizada
177,12.1914,Optimizada
178,12.3471,Optimizada
179,12.4877,Optimizada
180,12.6731,Optimizada
181,12.8035,Optimizada
182,12.9744,Optimizada
183,13.1263,Optimizada
184,13.2999,Optimizada
185,13.4595,Optimizada
186,13.5984,Optimizada
187,13.7781,Optimizada
188,13.9298,Optimizada
189,14.09,Optimizada
190,14.2476,Optimizada
191,14.4169,Optimizada
192,14.585,Optimizada
193,14.7483,Optimizada
194,14.9334,Optimizada
195,15.0747,Optimizada
196,15.3045,Optimizada
197,15.444,Optimizada
198,15.6,Optimizada
199,15.772,Optimizada
200,15.9426,Optimizada
201,16.2032,Optimizada
202,16.303,Optimizada
203,16.4852,Optimizada
204,16.66,Optimizada
205,16.8677,Optimizada
206,17.0396,Optimizada
207,17.2103,Optimizada
208,17.3967,Optimizada
209,17.5801,Optimizada
210,17.7655,Optimizada
211,17.9492,Optimizada
212,18.1803,Optimizada
213,18.3318,Optimizada
214,18.5089,Optimizada
215,18.7245,Optimizada
216,18.8952,Optimizada
217,19.0837,Optimizada
218,19.3069,Optimizada
219,19.4929,Optimizada
220,19.7705,Optimizada
221,19.8871,Optimizada
222,20.1009,Optimizada
223,20.3058,Optimizada
224,20.4658,Optimizada
225,20.6884,Optimizada
226,20.8767,Optimizada
227,21.09,Optimizada
228,21.2802,Optimizada
229,21.4893,Optimizada
230,21.7192,Optimizada
231,21.9131,Optimizada
232,22.1127,Optimizada
233,22.3495,Optimizada
234,22.5346,Optimizada
235,22.8157,Optimizada
236,22.9632,Optimizada
237,23.1686,Optimizada
238,23.3624,Optimizada
239,23.6247,Optimizada
240,23.8617,Optimizada
241,24.0553,Optimizada
242,24.2535,Optimizada
243,24.509,Optimizada
244,24.6949,Optimizada
245,24.9594,Optimizada
246,25.1682,Optimizada
247,25.3806,Optimizada
248,25.6114,Optimizada
249,25.8286,Optimizada
250,26.0492,Optimizada
251,26.2781,Optimizada
252,26.5262,Optimizada
253,26.7423,Optimizada
254,27.0097,Optimizada
255,27.2287,Optimizada
256,27.4564,Optimizada
257,27.652,Optimizada
258,27.9507,Optimizada
259,28.2243,Optimizada
260,28.4344,Optimizada
261,28.6522,Optimizada
262,28.913,Optimizada
263,29.136,Optimizada
264,29.4434,Optimizada
265,29.6405,Optimizada
266,30.0038,Optimizada
267,30.144,Optimizada
268,30.3501,Optimizada
269,30.5882,Optimizada
270,30.8759,Optimizada
271,31.1331,Optimizada
272,31.3627,Optimizada
273,31.6274,Optimizada
274,31.8743,Optimizada
275,32.1228,Optimizada
276,32.3787,Optimizada
277,32.6417,Optimizada
278,32.9887,Optimizada
279,33.2807,Optimizada
280,33.3802,Optimizada
281,33.6778,Optimizada
282,33.9503,Optimizada
283,34.2167,Optimizada
284,34.4738,Optimizada
285,34.7012,Optimizada
286,34.9984,Optimizada
287,35.2737,Optimizada
288,35.5152,Optimizada
289,35.8216,Optimizada
290,36.2039,Optimizada
291,36.3465,Optimizada
292,36.6036,Optimizada
293,36.8663,Optimizada
294,37.1649,Optimizada
295,37.4121,Optimizada
296,37.7196,Optimizada
297,37.9744,Optimizada
298,38.3732,Optimizada
299,38.5631,Optimizada
