cantNod,Tiempo,Tipo
2,0.0001788,Optimizada
3,0.00044508,Optimizada
4,0.00110054,Optimizada
5,0.00212637,Optimizada
6,0.00342363,Optimizada
7,0.00561616,Optimizada
8,0.00808213,Optimizada
9,0.0106579,Optimizada
10,0.0142235,Optimizada
11,0.0179883,Optimizada
12,0.0235867,Optimizada
13,0.0318075,Optimizada
14,0.0329766,Optimizada
15,0.0392629,Optimizada
16,0.0513564,Optimizada
17,0.0525009,Optimizada
18,0.059401,Optimizada
19,0.0690834,Optimizada
20,0.0872046,Optimizada
21,0.0872349,Optimizada
22,0.0978491,Optimizada
23,0.121112,Optimizada
24,0.130074,Optimizada
25,0.142396,Optimizada
26,0.147788,Optimizada
27,0.170344,Optimizada
28,0.184703,Optimizada
29,0.199139,Optimizada
30,0.208762,Optimizada
31,0.230373,Optimizada
32,0.249016,Optimizada
33,0.266279,Optimizada
34,0.291671,Optimizada
35,0.30392,Optimizada
36,0.331594,Optimizada
37,0.34533,Optimizada
38,0.367071,Optimizada
39,0.396264,Optimizada
40,0.413815,Optimizada
41,0.444338,Optimizada
42,0.465679,Optimizada
43,0.497135,Optimizada
44,0.522168,Optimizada
45,0.553072,Optimizada
46,0.577306,Optimizada
47,0.609652,Optimizada
48,0.648542,Optimizada
49,0.671063,Optimizada
50,0.702422,Optimizada
51,0.733305,Optimizada
52,0.77135,Optimizada
53,0.810359,Optimizada
54,0.839656,Optimizada
55,0.875312,Optimizada
56,0.915305,Optimizada
57,0.95697,Optimizada
58,0.992264,Optimizada
59,1.02941,Optimizada
60,1.07991,Optimizada
61,1.11229,Optimizada
62,1.15451,Optimizada
63,1.2028,Optimizada
64,1.24326,Optimizada
65,1.29925,Optimizada
66,1.33654,Optimizada
67,1.3861,Optimizada
68,1.4355,Optimizada
69,1.48512,Optimizada
70,1.53107,Optimizada
71,1.5938,Optimizada
72,1.63925,Optimizada
73,1.68698,Optimizada
74,1.7345,Optimizada
75,1.80015,Optimizada
76,1.84383,Optimizada
77,1.91612,Optimizada
78,1.95866,Optimizada
79,2.01196,Optimizada
80,2.08756,Optimizada
81,2.13326,Optimizada
82,2.19342,Optimizada
83,2.24932,Optimizada
84,2.30672,Optimizada
85,2.38513,Optimizada
86,2.45148,Optimizada
87,2.51173,Optimizada
88,2.57356,Optimizada
89,2.64637,Optimizada
90,2.7001,Optimizada
91,2.77294,Optimizada
92,2.83437,Optimizada
93,2.94147,Optimizada
94,2.99793,Optimizada
95,3.05334,Optimizada
96,3.11879,Optimizada
97,3.19185,Optimizada
98,3.27357,Optimizada
99,3.33816,Optimizada
100,3.42725,Optimizada
101,3.50314,Optimizada
102,3.56505,Optimizada
103,3.66316,Optimizada
104,3.7433,Optimizada
105,3.8249,Optimizada
106,3.90582,Optimizada
107,3.98283,Optimizada
108,4.0745,Optimizada
109,4.16415,Optimizada
110,4.23021,Optimizada
111,4.32302,Optimizada
112,4.40779,Optimizada
113,4.50461,Optimizada
114,4.58977,Optimizada
115,4.68089,Optimizada
116,4.77736,Optimizada
117,4.86082,Optimizada
118,4.95675,Optimizada
119,5.03976,Optimizada
120,5.18846,Optimizada
121,5.24212,Optimizada
122,5.33426,Optimizada
123,5.42448,Optimizada
124,5.53846,Optimizada
125,5.63887,Optimizada
126,5.74281,Optimizada
127,5.82152,Optimizada
128,5.94818,Optimizada
129,6.03779,Optimizada
130,6.14687,Optimizada
131,6.25526,Optimizada
132,6.34945,Optimizada
133,6.46501,Optimizada
134,6.56175,Optimizada
135,6.67646,Optimizada
136,6.78027,Optimizada
137,6.9013,Optimizada
138,7.01261,Optimizada
139,7.13121,Optimizada
140,7.23643,Optimizada
141,7.34953,Optimizada
142,7.47771,Optimizada
143,7.59325,Optimizada
144,7.69453,Optimizada
145,7.82078,Optimizada
146,7.93512,Optimizada
147,8.06989,Optimizada
148,8.1868,Optimizada
149,8.3096,Optimizada
150,8.44322,Optimizada
151,8.54782,Optimizada
152,8.67782,Optimizada
153,8.80687,Optimizada
154,8.93336,Optimizada
155,9.05954,Optimizada
156,9.18037,Optimizada
157,9.30693,Optimizada
158,9.43585,Optimizada
159,9.57305,Optimizada
160,9.73604,Optimizada
161,9.85549,Optimizada
162,9.98375,Optimizada
163,10.3784,Optimizada
164,10.3459,Optimizada
165,10.5938,Optimizada
166,10.8055,Optimizada
167,10.7081,Optimizada
168,10.8409,Optimizada
169,10.9826,Optimizada
170,11.1179,Optimizada
171,11.2737,Optimizada
172,11.4059,Optimizada
173,11.8371,Optimizada
174,11.6862,Optimizada
175,11.8521,Optimizada
176,12.2466,Optimizada
177,12.2949,Optimizada
178,12.3119,Optimizada
179,12.7014,Optimizada
180,12.8311,Optimizada
181,12.878,Optimizada
182,13.0492,Optimizada
183,13.3188,Optimizada
184,13.4873,Optimizada
185,13.4008,Optimizada
186,13.5288,Optimizada
187,13.9466,Optimizada
