cantNod,Tiempo,Tipo
2,0.0011173,Original
3,0.00162988,Original
4,0.00127068,Original
5,0.00242696,Original
6,0.00386897,Original
7,0.00630969,Original
8,0.00901643,Original
9,0.0126907,Original
10,0.0147095,Original
11,0.0187422,Original
12,0.0231014,Original
13,0.0281376,Original
14,0.0352914,Original
15,0.042074,Original
16,0.0451192,Original
17,0.0531613,Original
18,0.0606724,Original
19,0.0733217,Original
20,0.078887,Original
21,0.0879909,Original
22,0.103601,Original
23,0.115134,Original
24,0.134537,Original
25,0.138065,Original
26,0.152068,Original
27,0.160848,Original
28,0.180594,Original
29,0.196307,Original
30,0.209869,Original
31,0.227186,Original
32,0.245021,Original
33,0.262853,Original
34,0.282335,Original
35,0.30513,Original
36,0.329145,Original
37,0.345369,Original
38,0.367229,Original
39,0.392724,Original
40,0.420145,Original
41,0.438947,Original
42,0.465054,Original
43,0.493411,Original
44,0.525721,Original
45,0.549464,Original
46,0.576992,Original
47,0.614098,Original
48,0.639818,Original
49,0.670199,Original
50,0.702249,Original
51,0.732883,Original
52,0.769999,Original
53,0.800749,Original
54,0.844321,Original
55,0.873068,Original
56,0.919102,Original
57,0.949152,Original
58,0.991083,Original
59,1.0271,Original
60,1.07662,Original
61,1.11632,Original
62,1.15377,Original
63,1.2008,Original
64,1.2442,Original
65,1.30143,Original
66,1.33596,Original
67,1.38707,Original
68,1.43373,Original
69,1.48542,Original
70,1.53155,Original
71,1.58253,Original
72,1.63768,Original
73,1.68358,Original
74,1.79596,Original
75,1.79542,Original
76,1.85156,Original
77,1.89991,Original
78,1.95942,Original
79,2.01611,Original
80,2.07597,Original
81,2.14772,Original
82,2.20213,Original
83,2.2608,Original
84,2.32429,Original
85,2.38273,Original
86,2.444,Original
87,2.51407,Original
88,2.57433,Original
89,2.64713,Original
90,2.71877,Original
91,2.7861,Original
92,2.8486,Original
93,2.91966,Original
94,2.98931,Original
95,3.0684,Original
96,3.13074,Original
97,3.20888,Original
98,3.28609,Original
99,3.36391,Original
100,3.47197,Original
101,3.51621,Original
102,3.5961,Original
103,3.66772,Original
104,3.7514,Original
105,3.8606,Original
106,3.91598,Original
107,3.9984,Original
108,4.08195,Original
109,4.16243,Original
110,4.25023,Original
111,4.34175,Original
112,4.42335,Original
113,4.51843,Original
114,4.60707,Original
115,4.69999,Original
116,4.79075,Original
117,4.88596,Original
118,4.97268,Original
119,5.08067,Original
120,5.1623,Original
121,5.25625,Original
122,5.35737,Original
123,5.44717,Original
124,5.5651,Original
125,5.65184,Original
126,5.75104,Original
127,5.85859,Original
128,5.96878,Original
129,6.06732,Original
130,6.16066,Original
131,6.27353,Original
132,6.39345,Original
133,6.49124,Original
134,6.5962,Original
135,6.71825,Original
136,6.82831,Original
137,6.93286,Original
138,7.03997,Original
139,7.16399,Original
140,7.28162,Original
141,7.3854,Original
142,7.50703,Original
143,7.61646,Original
144,7.74887,Original
145,7.855,Original
146,7.99899,Original
147,8.11247,Original
148,8.22459,Original
149,8.35074,Original
150,8.46552,Original
151,8.60088,Original
152,8.73122,Original
153,8.85822,Original
154,8.98773,Original
155,9.11003,Original
156,9.23656,Original
157,9.38271,Original
158,9.52698,Original
159,9.63596,Original
160,9.76881,Original
161,9.90433,Original
162,10.0512,Original
163,10.1897,Original
164,10.3314,Original
165,10.4665,Original
166,10.6189,Original
167,10.7507,Original
168,10.8846,Original
169,11.0303,Original
170,11.1646,Original
171,11.3139,Original
172,11.4612,Original
173,11.6128,Original
174,11.7707,Original
175,11.918,Original
176,12.0837,Original
177,12.2061,Original
178,12.3689,Original
179,12.5223,Original
180,12.6599,Original
181,12.8267,Original
182,12.9808,Original
183,13.1321,Original
184,13.2985,Original
185,13.4529,Original
186,13.641,Original
187,13.7773,Original
188,13.9276,Original
189,14.112,Original
190,14.2698,Original
191,14.4289,Original
192,14.6029,Original
193,14.7653,Original
194,14.9377,Original
195,15.0948,Original
196,15.2838,Original
197,15.4652,Original
198,15.6791,Original
199,15.8279,Original
200,15.9814,Original
201,16.1554,Original
202,16.7718,Original
203,16.5424,Original
204,16.7034,Original
205,16.8722,Original
206,17.162,Original
207,17.2355,Original
208,17.4381,Original
209,17.6145,Original
210,17.7906,Original
211,17.9698,Original
212,18.1567,Original
213,18.3409,Original
214,18.5563,Original
215,18.9941,Original
216,18.9536,Original
217,19.1277,Original
218,19.3345,Original
219,19.4991,Original
220,19.7086,Original
221,19.905,Original
222,20.1217,Original
223,20.3139,Original
224,20.7722,Original
225,20.7382,Original
226,20.9156,Original
227,21.1104,Original
228,21.3284,Original
229,21.5223,Original
230,21.7471,Original
231,21.9527,Original
232,22.1575,Original
233,22.4089,Original
234,22.5833,Original
235,22.7849,Original
236,22.9663,Original
237,23.2114,Original
238,23.4318,Original
239,23.6531,Original
240,23.8332,Original
241,24.0947,Original
242,24.3259,Original
243,24.5501,Original
244,24.7344,Original
245,24.9631,Original
246,25.1738,Original
247,25.3965,Original
248,25.6257,Original
249,25.851,Original
250,26.0871,Original
251,26.3161,Original
252,26.5503,Original
253,26.8093,Original
254,26.994,Original
255,27.2905,Original
256,27.4693,Original
257,27.7278,Original
258,27.9843,Original
259,28.2557,Original
260,28.406,Original
261,28.7012,Original
262,28.9319,Original
263,29.173,Original
264,29.405,Original
265,29.684,Original
266,30.1499,Original
267,30.1908,Original
268,30.3988,Original
269,30.6618,Original
270,30.8705,Original
271,31.1429,Original
272,32.324,Original
273,32.7438,Original
274,33.0413,Original
275,33.0098,Original
276,32.6957,Original
277,32.9079,Original
278,32.902,Original
279,33.2121,Original
280,33.7379,Original
281,33.7076,Original
282,34.107,Original
283,34.2181,Original
284,34.4969,Original
285,34.7266,Original
286,35.0067,Original
287,35.3173,Original
288,35.5129,Original
289,35.8789,Original
290,36.0983,Original
291,36.3849,Original
292,36.633,Original
293,36.9441,Original
294,37.2477,Original
295,37.4357,Original
296,37.7412,Original
297,38.056,Original
298,38.3677,Original
299,38.5698,Original
