cantNod,Tiempo,Tipo
2,0.00041523,OriginalConAGM
3,0.00085876,OriginalConAGM
4,0.00158482,OriginalConAGM
5,0.00226215,OriginalConAGM
6,0.00363776,OriginalConAGM
7,0.00553484,OriginalConAGM
8,0.00815814,OriginalConAGM
9,0.0105359,OriginalConAGM
10,0.0148995,OriginalConAGM
11,0.0202996,OriginalConAGM
12,0.0228516,OriginalConAGM
13,0.0274692,OriginalConAGM
14,0.0346275,OriginalConAGM
15,0.0380703,OriginalConAGM
16,0.0447072,OriginalConAGM
17,0.0527156,OriginalConAGM
18,0.0634111,OriginalConAGM
19,0.0724227,OriginalConAGM
20,0.0828574,OriginalConAGM
21,0.0933468,OriginalConAGM
22,0.103852,OriginalConAGM
23,0.109996,OriginalConAGM
24,0.125963,OriginalConAGM
25,0.138946,OriginalConAGM
26,0.1523,OriginalConAGM
27,0.165198,OriginalConAGM
28,0.18132,OriginalConAGM
29,0.195098,OriginalConAGM
30,0.212401,OriginalConAGM
31,0.23109,OriginalConAGM
32,0.245959,OriginalConAGM
33,0.268038,OriginalConAGM
34,0.291166,OriginalConAGM
35,0.308501,OriginalConAGM
36,0.331086,OriginalConAGM
37,0.35712,OriginalConAGM
38,0.374263,OriginalConAGM
39,0.399138,OriginalConAGM
40,0.423849,OriginalConAGM
41,0.448155,OriginalConAGM
42,0.476553,OriginalConAGM
43,0.504406,OriginalConAGM
44,0.532939,OriginalConAGM
45,0.559435,OriginalConAGM
46,0.58821,OriginalConAGM
47,0.615809,OriginalConAGM
48,0.65015,OriginalConAGM
49,0.690895,OriginalConAGM
50,0.713355,OriginalConAGM
51,0.747642,OriginalConAGM
52,0.780195,OriginalConAGM
53,0.817219,OriginalConAGM
54,0.850403,OriginalConAGM
55,0.895084,OriginalConAGM
56,0.929587,OriginalConAGM
57,0.969203,OriginalConAGM
58,1.00568,OriginalConAGM
59,1.04785,OriginalConAGM
60,1.08833,OriginalConAGM
61,1.12798,OriginalConAGM
62,1.1846,OriginalConAGM
63,1.21707,OriginalConAGM
64,1.26771,OriginalConAGM
65,1.30564,OriginalConAGM
66,1.35445,OriginalConAGM
67,1.40344,OriginalConAGM
68,1.45568,OriginalConAGM
69,1.50224,OriginalConAGM
70,1.55123,OriginalConAGM
71,1.60152,OriginalConAGM
72,1.6552,OriginalConAGM
73,1.70656,OriginalConAGM
74,1.76033,OriginalConAGM
75,1.81441,OriginalConAGM
76,1.87115,OriginalConAGM
77,1.92513,OriginalConAGM
78,1.9881,OriginalConAGM
79,2.04136,OriginalConAGM
80,2.09899,OriginalConAGM
81,2.16281,OriginalConAGM
82,2.21746,OriginalConAGM
83,2.27928,OriginalConAGM
84,2.35017,OriginalConAGM
85,2.40971,OriginalConAGM
86,2.47035,OriginalConAGM
87,2.5362,OriginalConAGM
88,2.60051,OriginalConAGM
89,2.67642,OriginalConAGM
90,2.74625,OriginalConAGM
91,2.80863,OriginalConAGM
92,2.87518,OriginalConAGM
93,2.95166,OriginalConAGM
94,3.02751,OriginalConAGM
95,3.12604,OriginalConAGM
96,3.176,OriginalConAGM
97,3.2518,OriginalConAGM
98,3.33067,OriginalConAGM
99,3.44668,OriginalConAGM
100,3.5712,OriginalConAGM
101,3.69383,OriginalConAGM
102,3.79001,OriginalConAGM
103,3.83827,OriginalConAGM
104,3.91615,OriginalConAGM
105,3.87555,OriginalConAGM
106,3.95885,OriginalConAGM
107,4.03858,OriginalConAGM
108,4.12794,OriginalConAGM
109,4.21274,OriginalConAGM
110,4.29758,OriginalConAGM
111,4.38218,OriginalConAGM
112,4.47146,OriginalConAGM
113,4.56529,OriginalConAGM
114,4.65343,OriginalConAGM
