cantNod,Tiempo,Tipo
2,0.00029137,OptimizadaConAGM
3,0.00050001,OptimizadaConAGM
4,0.00081521,OptimizadaConAGM
5,0.00116146,OptimizadaConAGM
6,0.00157927,OptimizadaConAGM
7,0.00257835,OptimizadaConAGM
8,0.00397614,OptimizadaConAGM
9,0.00459303,OptimizadaConAGM
10,0.00771324,OptimizadaConAGM
11,0.00981957,OptimizadaConAGM
12,0.0104818,OptimizadaConAGM
13,0.0110056,OptimizadaConAGM
14,0.0186623,OptimizadaConAGM
15,0.0194493,OptimizadaConAGM
16,0.021809,OptimizadaConAGM
17,0.0246621,OptimizadaConAGM
18,0.0257199,OptimizadaConAGM
19,0.0381732,OptimizadaConAGM
20,0.0424221,OptimizadaConAGM
21,0.0456239,OptimizadaConAGM
22,0.0501715,OptimizadaConAGM
23,0.0523554,OptimizadaConAGM
24,0.0584639,OptimizadaConAGM
25,0.0574703,OptimizadaConAGM
26,0.0795462,OptimizadaConAGM
27,0.0881442,OptimizadaConAGM
28,0.0919616,OptimizadaConAGM
29,0.0974041,OptimizadaConAGM
30,0.103061,OptimizadaConAGM
31,0.108828,OptimizadaConAGM
32,0.115435,OptimizadaConAGM
33,0.12486,OptimizadaConAGM
34,0.128395,OptimizadaConAGM
35,0.12296,OptimizadaConAGM
36,0.162968,OptimizadaConAGM
37,0.187058,OptimizadaConAGM
38,0.193589,OptimizadaConAGM
39,0.199122,OptimizadaConAGM
40,0.207749,OptimizadaConAGM
41,0.216962,OptimizadaConAGM
42,0.226305,OptimizadaConAGM
43,0.235341,OptimizadaConAGM
44,0.245299,OptimizadaConAGM
45,0.25879,OptimizadaConAGM
46,0.267545,OptimizadaConAGM
47,0.278657,OptimizadaConAGM
48,0.267585,OptimizadaConAGM
49,0.274802,OptimizadaConAGM
50,0.322771,OptimizadaConAGM
51,0.382603,OptimizadaConAGM
52,0.402063,OptimizadaConAGM
53,0.410246,OptimizadaConAGM
54,0.426637,OptimizadaConAGM
55,0.440858,OptimizadaConAGM
56,0.450237,OptimizadaConAGM
57,0.469502,OptimizadaConAGM
58,0.482346,OptimizadaConAGM
59,0.499403,OptimizadaConAGM
60,0.515199,OptimizadaConAGM
61,0.532378,OptimizadaConAGM
62,0.546421,OptimizadaConAGM
63,0.562456,OptimizadaConAGM
64,0.579518,OptimizadaConAGM
65,0.594567,OptimizadaConAGM
66,0.610217,OptimizadaConAGM
67,0.598412,OptimizadaConAGM
68,0.593652,OptimizadaConAGM
