cantNod,Tiempo,Tipo
2,0.0003893,OptimizadaConAGM
3,0.00064822,OptimizadaConAGM
4,0.00081893,OptimizadaConAGM
5,0.00116267,OptimizadaConAGM
6,0.00160905,OptimizadaConAGM
7,0.00265766,OptimizadaConAGM
8,0.0038303,OptimizadaConAGM
9,0.00492093,OptimizadaConAGM
10,0.00779138,OptimizadaConAGM
11,0.0100895,OptimizadaConAGM
12,0.0106143,OptimizadaConAGM
13,0.0110135,OptimizadaConAGM
14,0.0188133,OptimizadaConAGM
15,0.0193021,OptimizadaConAGM
16,0.0216369,OptimizadaConAGM
17,0.0250004,OptimizadaConAGM
18,0.0271482,OptimizadaConAGM
19,0.0366126,OptimizadaConAGM
20,0.0437566,OptimizadaConAGM
21,0.0509272,OptimizadaConAGM
22,0.0519061,OptimizadaConAGM
23,0.0532672,OptimizadaConAGM
24,0.059411,OptimizadaConAGM
25,0.0587068,OptimizadaConAGM
26,0.0800425,OptimizadaConAGM
27,0.0898185,OptimizadaConAGM
28,0.0947153,OptimizadaConAGM
29,0.102962,OptimizadaConAGM
30,0.107072,OptimizadaConAGM
31,0.110899,OptimizadaConAGM
32,0.121902,OptimizadaConAGM
33,0.122399,OptimizadaConAGM
34,0.125985,OptimizadaConAGM
35,0.126076,OptimizadaConAGM
36,0.159004,OptimizadaConAGM
37,0.19319,OptimizadaConAGM
38,0.191698,OptimizadaConAGM
39,0.200612,OptimizadaConAGM
40,0.207279,OptimizadaConAGM
41,0.218483,OptimizadaConAGM
42,0.229231,OptimizadaConAGM
43,0.240059,OptimizadaConAGM
44,0.25145,OptimizadaConAGM
45,0.255894,OptimizadaConAGM
46,0.265436,OptimizadaConAGM
47,0.277623,OptimizadaConAGM
48,0.264206,OptimizadaConAGM
49,0.276047,OptimizadaConAGM
50,0.323059,OptimizadaConAGM
51,0.390857,OptimizadaConAGM
52,0.396697,OptimizadaConAGM
53,0.418015,OptimizadaConAGM
54,0.431346,OptimizadaConAGM
55,0.437717,OptimizadaConAGM
56,0.453214,OptimizadaConAGM
57,0.472433,OptimizadaConAGM
58,0.480847,OptimizadaConAGM
59,0.495063,OptimizadaConAGM
60,0.508355,OptimizadaConAGM
61,0.528281,OptimizadaConAGM
62,0.539603,OptimizadaConAGM
63,0.55963,OptimizadaConAGM
64,0.575027,OptimizadaConAGM
65,0.59343,OptimizadaConAGM
66,0.608001,OptimizadaConAGM
67,0.597558,OptimizadaConAGM
68,0.588694,OptimizadaConAGM
69,0.605031,OptimizadaConAGM
70,0.687074,OptimizadaConAGM
71,0.807805,OptimizadaConAGM
72,0.854882,OptimizadaConAGM
73,0.867619,OptimizadaConAGM
74,0.885308,OptimizadaConAGM
75,0.905547,OptimizadaConAGM
76,0.935186,OptimizadaConAGM
77,0.955604,OptimizadaConAGM
78,0.978925,OptimizadaConAGM
79,1.0027,OptimizadaConAGM
80,1.02905,OptimizadaConAGM
81,1.04405,OptimizadaConAGM
82,1.06774,OptimizadaConAGM
83,1.09885,OptimizadaConAGM
84,1.11826,OptimizadaConAGM
85,1.13777,OptimizadaConAGM
86,1.17428,OptimizadaConAGM
87,1.194,OptimizadaConAGM
88,1.2152,OptimizadaConAGM
89,1.24308,OptimizadaConAGM
90,1.27144,OptimizadaConAGM
91,1.29504,OptimizadaConAGM
92,1.32627,OptimizadaConAGM
93,1.34871,OptimizadaConAGM
94,1.32894,OptimizadaConAGM
95,1.31158,OptimizadaConAGM
96,1.32403,OptimizadaConAGM
97,1.34988,OptimizadaConAGM
98,1.45743,OptimizadaConAGM
99,1.62238,OptimizadaConAGM
100,1.7955,OptimizadaConAGM
101,1.84557,OptimizadaConAGM
102,1.87537,OptimizadaConAGM
103,1.91391,OptimizadaConAGM
104,1.94561,OptimizadaConAGM
105,1.97224,OptimizadaConAGM
106,2.00895,OptimizadaConAGM
107,2.05199,OptimizadaConAGM
108,2.08256,OptimizadaConAGM
109,2.11175,OptimizadaConAGM
110,2.15005,OptimizadaConAGM
111,2.19384,OptimizadaConAGM
112,2.23033,OptimizadaConAGM
113,2.26025,OptimizadaConAGM
114,2.29513,OptimizadaConAGM
115,2.33131,OptimizadaConAGM
116,2.3717,OptimizadaConAGM
117,2.41686,OptimizadaConAGM
118,2.44724,OptimizadaConAGM
119,2.49974,OptimizadaConAGM
120,2.5287,OptimizadaConAGM
121,2.56954,OptimizadaConAGM
122,2.60777,OptimizadaConAGM
