cantNod,Tiempo,Tipo
2,0.00054821,OriginalConAGM
3,0.00119464,OriginalConAGM
4,0.00158462,OriginalConAGM
5,0.00225239,OriginalConAGM
6,0.00365286,OriginalConAGM
7,0.00536262,OriginalConAGM
8,0.00798922,OriginalConAGM
9,0.0110483,OriginalConAGM
10,0.0149069,OriginalConAGM
11,0.0209826,OriginalConAGM
12,0.0228567,OriginalConAGM
13,0.0273611,OriginalConAGM
14,0.0355365,OriginalConAGM
15,0.038756,OriginalConAGM
16,0.0448949,OriginalConAGM
17,0.0529137,OriginalConAGM
18,0.0631171,OriginalConAGM
19,0.0687523,OriginalConAGM
20,0.0860557,OriginalConAGM
21,0.103857,OriginalConAGM
22,0.107742,OriginalConAGM
23,0.11661,OriginalConAGM
24,0.123105,OriginalConAGM
25,0.144356,OriginalConAGM
26,0.158608,OriginalConAGM
27,0.168476,OriginalConAGM
28,0.186146,OriginalConAGM
29,0.198841,OriginalConAGM
30,0.219409,OriginalConAGM
31,0.239946,OriginalConAGM
32,0.251634,OriginalConAGM
33,0.268681,OriginalConAGM
34,0.291126,OriginalConAGM
35,0.315703,OriginalConAGM
36,0.330417,OriginalConAGM
37,0.356737,OriginalConAGM
38,0.376486,OriginalConAGM
39,0.400887,OriginalConAGM
40,0.429596,OriginalConAGM
41,0.453713,OriginalConAGM
42,0.477535,OriginalConAGM
43,0.504646,OriginalConAGM
44,0.541789,OriginalConAGM
45,0.562237,OriginalConAGM
46,0.594801,OriginalConAGM
47,0.615529,OriginalConAGM
48,0.653806,OriginalConAGM
49,0.68236,OriginalConAGM
50,0.715014,OriginalConAGM
51,0.772115,OriginalConAGM
52,0.78339,OriginalConAGM
53,0.83263,OriginalConAGM
54,0.864687,OriginalConAGM
55,0.895478,OriginalConAGM
56,0.931623,OriginalConAGM
57,0.979107,OriginalConAGM
58,1.01288,OriginalConAGM
59,1.0462,OriginalConAGM
60,1.09088,OriginalConAGM
61,1.13055,OriginalConAGM
62,1.17267,OriginalConAGM
63,1.21466,OriginalConAGM
64,1.26256,OriginalConAGM
65,1.30767,OriginalConAGM
66,1.35264,OriginalConAGM
67,1.41389,OriginalConAGM
68,1.44823,OriginalConAGM
69,1.50299,OriginalConAGM
70,1.54277,OriginalConAGM
71,1.60076,OriginalConAGM
72,1.67403,OriginalConAGM
73,1.70381,OriginalConAGM
74,1.75484,OriginalConAGM
75,1.81156,OriginalConAGM
76,1.86942,OriginalConAGM
77,1.91614,OriginalConAGM
78,1.98938,OriginalConAGM
79,2.04679,OriginalConAGM
80,2.09475,OriginalConAGM
81,2.16353,OriginalConAGM
82,2.21542,OriginalConAGM
83,2.28003,OriginalConAGM
84,2.34612,OriginalConAGM
85,2.39985,OriginalConAGM
86,2.46903,OriginalConAGM
87,2.52943,OriginalConAGM
88,2.59357,OriginalConAGM
89,2.66151,OriginalConAGM
90,2.72952,OriginalConAGM
91,2.80685,OriginalConAGM
92,2.87766,OriginalConAGM
93,2.94017,OriginalConAGM
94,3.01515,OriginalConAGM
95,3.09566,OriginalConAGM
96,3.15892,OriginalConAGM
97,3.22768,OriginalConAGM
98,3.31121,OriginalConAGM
99,3.39606,OriginalConAGM
100,3.4688,OriginalConAGM
101,3.53991,OriginalConAGM
102,3.61792,OriginalConAGM
103,3.70216,OriginalConAGM
104,3.7723,OriginalConAGM
105,3.86134,OriginalConAGM
106,3.94856,OriginalConAGM
107,4.02734,OriginalConAGM
108,4.11999,OriginalConAGM
109,4.20196,OriginalConAGM
110,4.2918,OriginalConAGM
111,4.39626,OriginalConAGM
112,4.47305,OriginalConAGM
113,4.54867,OriginalConAGM
114,4.64203,OriginalConAGM
115,4.73356,OriginalConAGM
116,4.82434,OriginalConAGM
117,4.91428,OriginalConAGM
118,5.0168,OriginalConAGM
119,5.14668,OriginalConAGM
120,5.21193,OriginalConAGM
121,5.30631,OriginalConAGM
122,5.40302,OriginalConAGM
123,5.51861,OriginalConAGM
124,5.60857,OriginalConAGM
125,5.70563,OriginalConAGM
126,5.80276,OriginalConAGM
127,5.90881,OriginalConAGM
128,6.02626,OriginalConAGM
129,6.1199,OriginalConAGM
130,6.22638,OriginalConAGM
131,6.33382,OriginalConAGM
132,6.45122,OriginalConAGM
133,6.56591,OriginalConAGM
134,6.67018,OriginalConAGM
135,6.77209,OriginalConAGM
136,6.8832,OriginalConAGM
137,6.99969,OriginalConAGM
138,7.10716,OriginalConAGM
139,7.21781,OriginalConAGM
140,7.34023,OriginalConAGM
141,7.48288,OriginalConAGM
142,7.57272,OriginalConAGM
143,7.69585,OriginalConAGM
144,7.8211,OriginalConAGM
145,7.92479,OriginalConAGM
146,8.05329,OriginalConAGM
147,8.18008,OriginalConAGM
148,8.31152,OriginalConAGM
149,8.43379,OriginalConAGM
150,8.6086,OriginalConAGM
151,8.69262,OriginalConAGM
152,8.80917,OriginalConAGM
153,8.94249,OriginalConAGM
154,9.05275,OriginalConAGM
155,9.18103,OriginalConAGM
156,9.33637,OriginalConAGM
157,9.48729,OriginalConAGM
158,9.59321,OriginalConAGM
159,9.7273,OriginalConAGM
160,9.86915,OriginalConAGM
161,10.0008,OriginalConAGM
162,10.1507,OriginalConAGM
163,10.2925,OriginalConAGM
164,10.422,OriginalConAGM
165,10.5773,OriginalConAGM
166,10.7108,OriginalConAGM
167,10.8625,OriginalConAGM
168,11.0015,OriginalConAGM
169,11.1606,OriginalConAGM
170,11.2784,OriginalConAGM
171,11.4458,OriginalConAGM
172,11.5854,OriginalConAGM
173,11.75,OriginalConAGM
174,11.8809,OriginalConAGM
175,12.0416,OriginalConAGM
176,12.1872,OriginalConAGM
177,12.3431,OriginalConAGM
178,12.5033,OriginalConAGM
179,12.6924,OriginalConAGM
