x,y
0.390472,50
0.441656,55
0.579783,60
0.475094,65
0.578398,70
0.788761,75
0.965057,80
0.993554,85
1.19876,90
1.34489,95
1.34627,100
1.73828,105
1.75403,110
1.88963,115
2.12757,120
2.0591,125
1.86269,130
2.77851,135
2.39846,140
2.6033,145
3.02444,150
3.50843,155
2.84199,160
3.15727,165
3.78725,170
4.08925,175
3.80091,180
4.40399,185
3.94812,190
5.75769,195
5.50704,200
5.94867,205
6.69428,210
6.06693,215
6.8753,220
6.04557,225
8.08271,230
7.48324,235
7.0227,240
9.23067,245
9.79729,250
10.1973,255
10.8159,260
10.7599,265
10.8879,270
9.67267,275
8.52583,280
9.66096,285
10.5533,290
13.2159,295
11.7728,300
10.2831,305
13.8491,310
11.8417,315
14.5627,320
15.4024,325
16.3287,330
16.88888,335
16.9586,340
17.7369,345
16.5965,350
18.5351,355
20.0339,360
19.3345,365
17.9113,370
17.0232,375
23.2357,380
18.5658,385
19.3395,390
20.0339,395
20.5119,400
