x,y
0.425331,50
0.440068,55
0.577876,60
0.467148,65
0.57214,70
0.788852,75
0.955697,80
0.979587,85
1.19784,90
1.34365,95
4.9192e-05,100
0.000105123,105
6.6362e-05,110
6.1802e-05,115
0.000104175,120
4.6173e-05,125
4.6173e-05,130
7.7778e-05,135
2.9287e-05,140
3.1125e-05,145
5.0198e-05,150
5.0198e-05,155
5.0198e-05,160
1.5493e-05,165
4.1655e-05,170
4.6664e-05,175
1.7179e-05,180
3.8843e-05,185
3.8843e-05,190
5.7369e-05,195
5.7369e-05,200
6.3199e-05,205
7.9221e-05,210
4.2379e-05,215
6.2606e-05,220
2.1284e-05,225
8.26e-05,230
8.26e-05,235
2.7237e-05,240
8.1962e-05,245
8.6185e-05,250
8.7287e-05,255
9.1086e-05,260
7.9173e-05,265
7.6105e-05,270
3.7873e-05,275
3.7873e-05,280
2.3349e-05,285
3.3707e-05,290
7.9427e-05,295
4.3424e-05,300
7.64e-06,305
6.4524e-05,310
2.4193e-05,315
6.4383e-05,320
4.68e-06,325
7.5584e-05,330
6.3076e-05,335
7.2895e-05,340
7.5752e-05,345
4.9519e-05,350
4.9519e-05,355
8.1061e-05,360
8.1061e-05,365
4.4611e-05,370
2.6354e-05,375
9.1834e-05,380
3.4612e-05,385
3.5795e-05,390
1.1864e-05,395
6.8456e-05,400
