x,y
0.950109,0
0.950281,5
0.949345,10
0.948693,15
0.950822,20
0.950311,25
0.957114,30
0.950045,35
0.950081,40
0.951567,45
0.952109,50
0.951885,55
0.956006,60
0.952746,65
0.953757,70
0.956161,75
0.951587,80
0.953444,85
0.965607,90
0.952532,95
0.962822,100
0.973612,105
0.952497,110
1.0868,115
0.953228,120
0.957001,125
1.14907,130
1.05172,135
0.978203,140
1.02327,145
0.957563,150
1.15707,155
0.962132,160
1.0587,165
0.96417,170
0.969621,175
1.05319,180
0.997328,185
1.00679,190
1.04364,195
0.998346,200
1.12016,205
1.15844,210
1.0401,215
1.06124,220
1.14404,225
0.959451,230
1.04197,235
0.962691,240
1.06642,245
1.0098,250
1.00654,255
1.1502,260
1.23375,265
1.02669,270
1.01201,275
0.965449,280
0.99842,285
1.01311,290
1.08684,295
1.19163,300
1.01883,305
1.06243,310
1.04418,315
1.14119,320
0.994184,325
0.98577,330
1.02639,335
1.06784,340
0.987837,345
0.992472,350
1.1169,355
1.07227,360
1.02189,365
1.02845,370
1.11842,375
1.04624,380
0.988092,385
1.05406,390
1.08709,395
1.01307,400
1.1021,405
1.01061,410
1.0856,415
1.15371,420
0.994878,425
1.17556,430
1.06566,435
0.971275,440
0.984169,445
0.970567,450
1.16899,455
0.971971,460
1.08767,465
1.05163,470
1.02024,475
1.08283,480
1.02874,485
1.02163,490
1.11872,495
1.03217,500
0.987425,505
1.00453,510
1.25393,515
1.06137,520
1.16624,525
1.09024,530
1.11482,535
0.988693,540
1.09012,545
0.974838,550
1.0253,555
1.01166,560
1.0917,565
1.00474,570
0.975132,575
1.06387,580
1.31493,585
1.00099,590
1.01293,595
1.01632,600
1.05181,605
0.998084,610
1.15771,615
1.02356,620
1.20693,625
1.00505,630
0.985319,635
1.02273,640
0.995856,645
1.01914,650
1.13478,655
1.13052,660
1.01197,665
1.05023,670
1.12731,675
1.03459,680
1.24911,685
1.07785,690
0.993535,695
1.10217,700
1.06092,705
1.08987,710
1.11509,715
1.10712,720
1.04407,725
1.07746,730
1.17387,735
1.09826,740
1.05027,745
1.08029,750
1.04626,755
0.983945,760
1.07164,765
0.9936,770
1.05655,775
1.10839,780
1.02349,785
1.17206,790
1.04136,795
1.01654,800
1.0334,805
1.03246,810
1.0586,815
1.1272,820
1.10766,825
1.01147,830
1.01882,835
1.02084,840
1.23534,845
1.12468,850
1.08567,855
1.00154,860
1.04172,865
1.01115,870
1.25321,875
1.03787,880
1.11041,885
1.03666,890
1.07486,895
1.0226,900
1.05211,905
1.08683,910
1.04253,915
1.03226,920
1.17087,925
1.01394,930
1.13198,935
1.15528,940
0.994908,945
1.25428,950
1.11637,955
1.01395,960
1.3123,965
1.23484,970
1.2122,975
1.10522,980
1.12495,985
1.01725,990
1.13929,995
