x,y
0.995108,0
1.08066,5
1.03509,10
1.1915,15
1.02243,20
1.03276,25
1.0537,30
1.05978,35
1.00794,40
1.02541,45
1.09554,50
1.03108,55
1.11205,60
1.1946,65
0.997533,70
0.991443,75
0.996484,80
1.10168,85
1.02083,90
1.03763,95
1.00848,100
1.11007,105
1.10286,110
1.17223,115
1.07028,120
1.14817,125
0.992314,130
1.11842,135
1.05137,140
0.996875,145
1.05844,150
1.03535,155
1.09699,160
1.02999,165
1.1908,170
1.09256,175
1.05076,180
1.12046,185
1.08016,190
1.04061,195
1.10345,200
1.08538,205
1.21513,210
1.05668,215
1.14393,220
1.06662,225
1.17559,230
1.01184,235
1.06527,240
1.01444,245
1.20243,250
1.13058,255
0.990783,260
1.15901,265
1.08661,270
1.04241,275
1.31491,280
1.09994,285
1.17844,290
1.00276,295
1.20706,300
1.02066,305
1.11277,310
0.993666,315
1.00303,320
1.12445,325
1.18099,330
1.00946,335
1.14207,340
1.01968,345
1.04964,350
1.02413,355
1.04208,360
1.05877,365
1.19831,370
1.13934,375
1.14157,380
1.10366,385
1.1137,390
1.13264,395
1.32898,400
1.05434,405
0.998122,410
1.23315,415
1.26249,420
1.11453,425
1.07441,430
1.07981,435
1.44703,440
1.25051,445
1.05316,450
1.00429,455
0.993304,460
1.0954,465
1.13315,470
1.05433,475
1.11908,480
1.03628,485
0.999261,490
1.04219,495
1.02015,500
1.07549,505
1.08076,510
1.08608,515
1.08571,520
1.11496,525
1.14014,530
1.14272,535
0.99144,540
1.14692,545
1.11477,550
1.10527,555
1.0033,560
1.02541,565
0.997542,570
1.17097,575
1.18165,580
0.991899,585
1.06729,590
1.10756,595
1.06959,600
1.04752,605
1.0638,610
1.0019,615
1.00185,620
1.18615,625
1.00477,630
1.22492,635
1.17442,640
1.03073,645
1.03414,650
1.18296,655
1.01849,660
1.22535,665
1.0865,670
1.0963,675
1.12908,680
1.07875,685
1.00258,690
1.02579,695
1.04255,700
1.05612,705
1.0814,710
0.99193,715
1.01921,720
0.991578,725
1.27241,730
1.02393,735
1.10224,740
1.0523,745
1.03006,750
1.15274,755
1.01301,760
1.2741,765
1.03813,770
1.01396,775
1.0791,780
1.04769,785
1.01874,790
1.15756,795
1.03406,800
1.13579,805
1.05554,810
1.10472,815
0.990784,820
0.99054,825
1.05662,830
1.09994,835
1.05521,840
0.999413,845
1.27133,850
1.15971,855
0.997221,860
1.13346,865
1.03958,870
1.09039,875
1.01066,880
1.04396,885
1.11207,890
1.0065,895
1.10086,900
1.05327,905
1.10203,910
1.03077,915
1.02657,920
1.08595,925
1.29291,930
1.16679,935
1.19061,940
1.01901,945
1.13478,950
1.01477,955
0.99323,960
1.16938,965
1.10417,970
1.01748,975
1.03439,980
1.2498,985
1.0458,990
1.02229,995
